,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-ET-A40S-01A,0.019,0.001,0.025,0.010,0.007,0.005,0.045,0.072,0.031,0.021,0.071,0.006,0.002,0.005,0.001,0.679,0.679
TCGA-EL-A3ZO-01A,0.010,0.002,0.034,0.009,0.000,0.000,0.068,0.045,0.155,0.007,0.044,0.000,0.000,0.000,0.000,0.623,0.623
TCGA-FE-A231-01A,0.000,0.000,0.005,0.002,0.000,0.000,0.006,0.048,0.000,0.002,0.071,0.000,0.000,0.002,0.000,0.864,0.864
TCGA-EL-A3GQ-01A,0.002,0.000,0.009,0.001,0.000,0.002,0.012,0.197,0.088,0.093,0.054,0.001,0.001,0.005,0.000,0.535,0.535
TCGA-E8-A437-01A,0.007,0.000,0.001,0.006,0.000,0.000,0.013,0.112,0.023,0.067,0.019,0.000,0.000,0.000,0.000,0.752,0.752
TCGA-DE-A69K-01A,0.002,0.000,0.009,0.002,0.002,0.000,0.005,0.132,0.003,0.043,0.046,0.000,0.000,0.004,0.000,0.751,0.751
TCGA-DJ-A2PP-01A,0.021,0.000,0.001,0.000,0.002,0.000,0.000,0.167,0.000,0.045,0.009,0.000,0.000,0.001,0.000,0.753,0.753
TCGA-FY-A4B0-01A,0.020,0.000,0.006,0.001,0.009,0.000,0.000,0.109,0.008,0.067,0.063,0.000,0.000,0.005,0.000,0.711,0.711
TCGA-DJ-A3UK-01A,0.003,0.000,0.003,0.005,0.000,0.001,0.011,0.172,0.012,0.060,0.064,0.000,0.000,0.007,0.000,0.659,0.659
TCGA-BJ-A3PT-01A,0.019,0.000,0.010,0.007,0.005,0.001,0.028,0.142,0.046,0.070,0.061,0.000,0.000,0.000,0.000,0.609,0.609
TCGA-EM-A2CT-01A,0.030,0.000,0.000,0.004,0.000,0.000,0.000,0.125,0.000,0.068,0.020,0.000,0.000,0.000,0.000,0.752,0.752
TCGA-EL-A3D5-01A,0.020,0.000,0.001,0.000,0.012,0.000,0.000,0.152,0.001,0.069,0.006,0.000,0.001,0.000,0.000,0.738,0.738
TCGA-EL-A3GV-01A,0.005,0.001,0.018,0.002,0.003,0.003,0.037,0.130,0.048,0.047,0.074,0.007,0.000,0.005,0.000,0.620,0.620
TCGA-BJ-A45I-01A,0.010,0.009,0.024,0.015,0.000,0.000,0.039,0.118,0.094,0.027,0.059,0.000,0.001,0.002,0.000,0.600,0.600
TCGA-EM-A3AJ-01A,0.120,0.012,0.029,0.002,0.035,0.000,0.002,0.172,0.002,0.116,0.098,0.000,0.001,0.004,0.000,0.407,0.407
TCGA-BJ-A2N9-01A,0.074,0.000,0.005,0.004,0.011,0.000,0.000,0.034,0.000,0.003,0.066,0.000,0.000,0.000,0.000,0.801,0.801
TCGA-KS-A4I7-01A,0.006,0.000,0.007,0.011,0.001,0.002,0.021,0.108,0.026,0.069,0.052,0.003,0.000,0.005,0.000,0.688,0.688
TCGA-KS-A4ID-01A,0.103,0.008,0.007,0.013,0.005,0.000,0.001,0.105,0.000,0.026,0.124,0.000,0.000,0.000,0.000,0.605,0.605
TCGA-FE-A230-01A,0.057,0.004,0.012,0.015,0.001,0.000,0.001,0.054,0.009,0.009,0.071,0.000,0.000,0.004,0.000,0.763,0.763
TCGA-DJ-A2Q5-01A,0.049,0.083,0.042,0.024,0.010,0.000,0.026,0.105,0.051,0.045,0.072,0.001,0.002,0.004,0.000,0.484,0.484
TCGA-EL-A4K2-01A,0.040,0.000,0.009,0.001,0.006,0.004,0.008,0.134,0.002,0.065,0.135,0.000,0.000,0.002,0.000,0.592,0.592
TCGA-EL-A4K4-01A,0.000,0.000,0.010,0.005,0.000,0.000,0.011,0.051,0.190,0.019,0.086,0.000,0.000,0.001,0.000,0.625,0.625
TCGA-EM-A22L-01A,0.030,0.000,0.000,0.001,0.003,0.000,0.000,0.165,0.000,0.081,0.015,0.000,0.000,0.002,0.000,0.704,0.704
TCGA-DE-A0XZ-01A,0.048,0.019,0.019,0.018,0.005,0.004,0.021,0.128,0.040,0.065,0.075,0.000,0.001,0.008,0.000,0.548,0.548
TCGA-EL-A3T7-01A,0.002,0.000,0.005,0.004,0.000,0.000,0.004,0.089,0.033,0.022,0.076,0.002,0.000,0.000,0.000,0.761,0.761
TCGA-EM-A3FR-01A,0.040,0.000,0.001,0.000,0.002,0.000,0.000,0.101,0.000,0.086,0.015,0.000,0.000,0.000,0.000,0.755,0.755
TCGA-ET-A2N0-01A,0.049,0.006,0.008,0.009,0.001,0.000,0.004,0.036,0.008,0.011,0.034,0.000,0.000,0.000,0.000,0.833,0.833
TCGA-E8-A44K-01A,0.007,0.000,0.001,0.009,0.001,0.000,0.009,0.065,0.036,0.024,0.051,0.000,0.000,0.000,0.000,0.797,0.797
TCGA-DJ-A4UW-01A,0.007,0.001,0.010,0.002,0.001,0.004,0.027,0.171,0.188,0.102,0.028,0.002,0.000,0.001,0.000,0.456,0.456
