,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-5P-A9K6-01A,0.000,0.000,0.000,0.000,0.000,0.001,0.749,0.000,0.042,0.020,0.013,0.173,0.000,0.000,0.001,0.000
TCGA-A4-7996-01A,0.000,0.000,0.003,0.001,0.012,0.004,0.687,0.003,0.024,0.035,0.000,0.225,0.004,0.000,0.002,0.000
TCGA-5P-A9KE-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.008,0.001,0.005,0.183,0.000,0.000,0.001,0.000
TCGA-IZ-A6M9-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.839,0.001,0.018,0.004,0.000,0.118,0.011,0.000,0.004,0.000
TCGA-B9-4117-01A,0.009,0.000,0.002,0.013,0.000,0.000,0.634,0.015,0.028,0.051,0.001,0.240,0.005,0.000,0.001,0.000
TCGA-Q2-A5QZ-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.734,0.000,0.038,0.012,0.014,0.196,0.000,0.000,0.003,0.000
TCGA-AL-7173-01A,0.006,0.003,0.003,0.003,0.000,0.000,0.806,0.000,0.036,0.079,0.013,0.047,0.003,0.000,0.001,0.000
TCGA-BQ-7048-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.618,0.000,0.066,0.043,0.045,0.220,0.000,0.003,0.002,0.000
TCGA-B1-5398-01A,0.006,0.000,0.014,0.002,0.024,0.001,0.353,0.000,0.040,0.001,0.008,0.548,0.000,0.000,0.003,0.000
TCGA-F9-A7VF-01A,0.000,0.000,0.001,0.001,0.001,0.000,0.924,0.004,0.039,0.000,0.000,0.021,0.003,0.004,0.001,0.000
TCGA-5P-A9K0-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.805,0.000,0.026,0.002,0.001,0.163,0.002,0.000,0.001,0.000
TCGA-KV-A6GE-01A,0.000,0.000,0.000,0.004,0.004,0.002,0.820,0.010,0.032,0.001,0.005,0.112,0.008,0.000,0.001,0.000
TCGA-B9-4115-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.804,0.000,0.012,0.009,0.000,0.168,0.005,0.000,0.002,0.000
TCGA-AL-3473-01A,0.001,0.000,0.024,0.032,0.063,0.000,0.325,0.001,0.118,0.001,0.015,0.413,0.003,0.000,0.001,0.000
TCGA-PJ-A5Z9-01A,0.000,0.000,0.000,0.001,0.001,0.000,0.910,0.000,0.023,0.002,0.001,0.058,0.003,0.000,0.001,0.000
TCGA-A4-A48D-01A,0.000,0.000,0.001,0.004,0.000,0.001,0.553,0.000,0.028,0.001,0.004,0.407,0.000,0.000,0.001,0.000
TCGA-2Z-A9J7-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.957,0.000,0.019,0.003,0.004,0.012,0.003,0.000,0.000,0.000
TCGA-A4-7287-01A,0.018,0.034,0.023,0.011,0.000,0.001,0.748,0.038,0.057,0.023,0.022,0.019,0.006,0.000,0.000,0.000
TCGA-G7-6796-01A,0.015,0.008,0.008,0.001,0.003,0.002,0.837,0.015,0.047,0.015,0.009,0.038,0.000,0.000,0.001,0.000
TCGA-P4-AAVK-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.792,0.000,0.041,0.001,0.018,0.146,0.000,0.000,0.001,0.000
TCGA-BQ-5877-01A,0.000,0.000,0.002,0.010,0.002,0.000,0.572,0.000,0.053,0.120,0.023,0.214,0.000,0.001,0.001,0.000
TCGA-IA-A83W-01A,0.010,0.000,0.000,0.008,0.001,0.000,0.703,0.007,0.038,0.014,0.024,0.185,0.007,0.001,0.000,0.000
TCGA-F9-A7Q0-01A,0.021,0.000,0.002,0.007,0.002,0.000,0.878,0.003,0.029,0.002,0.001,0.031,0.019,0.003,0.000,0.000
TCGA-BQ-5875-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.653,0.000,0.061,0.000,0.015,0.268,0.000,0.000,0.000,0.000
TCGA-SX-A71V-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.789,0.000,0.017,0.001,0.001,0.183,0.004,0.000,0.001,0.000
TCGA-SX-A7SS-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.787,0.001,0.028,0.003,0.033,0.141,0.003,0.000,0.001,0.000
TCGA-Y8-A897-01A,0.000,0.000,0.006,0.005,0.005,0.000,0.713,0.000,0.025,0.024,0.002,0.216,0.003,0.000,0.001,0.000
TCGA-2Z-A9JG-01A,0.004,0.000,0.001,0.007,0.000,0.000,0.869,0.000,0.018,0.003,0.001,0.094,0.000,0.000,0.000,0.000
TCGA-UZ-A9PS-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.940,0.000,0.016,0.001,0.000,0.041,0.000,0.000,0.000,0.000
TCGA-HE-A5NK-01A,0.000,0.000,0.003,0.005,0.000,0.000,0.415,0.000,0.067,0.025,0.000,0.461,0.009,0.011,0.002,0.000
TCGA-B9-A8YH-01A,0.000,0.000,0.001,0.004,0.000,0.000,0.711,0.005,0.043,0.018,0.003,0.201,0.012,0.000,0.000,0.000
TCGA-BQ-7062-01A,0.000,0.000,0.001,0.000,0.014,0.009,0.640,0.010,0.048,0.030,0.007,0.229,0.012,0.000,0.000,0.000
TCGA-IZ-A6M8-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.655,0.000,0.040,0.001,0.001,0.298,0.000,0.000,0.002,0.000
TCGA-GL-7966-01A,0.000,0.001,0.002,0.008,0.000,0.000,0.849,0.000,0.028,0.076,0.002,0.018,0.015,0.000,0.000,0.000
TCGA-O9-A75Z-01A,0.000,0.000,0.001,0.005,0.000,0.000,0.830,0.006,0.018,0.047,0.000,0.079,0.011,0.000,0.001,0.000
TCGA-DZ-6135-01A,0.040,0.000,0.008,0.001,0.000,0.000,0.739,0.022,0.031,0.042,0.000,0.112,0.002,0.001,0.001,0.000
TCGA-MH-A55W-01A,0.001,0.000,0.001,0.006,0.008,0.005,0.853,0.007,0.021,0.003,0.001,0.085,0.008,0.000,0.001,0.000
TCGA-BQ-7059-01A,0.000,0.000,0.003,0.003,0.006,0.005,0.398,0.001,0.035,0.026,0.007,0.509,0.006,0.000,0.000,0.000
TCGA-B9-5156-01A,0.000,0.000,0.007,0.002,0.000,0.001,0.727,0.000,0.033,0.025,0.000,0.197,0.004,0.000,0.003,0.000
TCGA-2Z-A9J1-01A,0.003,0.000,0.002,0.002,0.000,0.000,0.833,0.005,0.019,0.006,0.000,0.124,0.004,0.000,0.001,0.000
TCGA-A4-8098-01A,0.001,0.000,0.002,0.018,0.000,0.000,0.868,0.002,0.030,0.005,0.005,0.068,0.000,0.000,0.001,0.000
TCGA-BQ-7060-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.698,0.000,0.032,0.011,0.002,0.253,0.000,0.000,0.000,0.000
TCGA-DW-5561-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.852,0.009,0.019,0.005,0.000,0.103,0.004,0.001,0.001,0.000
TCGA-5P-A9JZ-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.820,0.000,0.019,0.000,0.001,0.154,0.002,0.000,0.001,0.000
TCGA-A4-7584-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.933,0.000,0.021,0.000,0.002,0.042,0.001,0.000,0.001,0.000
TCGA-GL-A9DE-01A,0.001,0.000,0.001,0.012,0.000,0.000,0.324,0.000,0.087,0.000,0.031,0.541,0.000,0.001,0.002,0.000
TCGA-MH-A562-01A,0.000,0.000,0.000,0.004,0.005,0.000,0.752,0.011,0.025,0.002,0.000,0.188,0.009,0.002,0.001,0.000
TCGA-J7-6720-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.647,0.001,0.033,0.074,0.000,0.231,0.008,0.001,0.001,0.000
TCGA-DZ-6134-01A,0.012,0.013,0.006,0.003,0.001,0.011,0.538,0.000,0.051,0.062,0.019,0.279,0.002,0.000,0.002,0.000
TCGA-P4-AAVM-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.786,0.000,0.014,0.002,0.004,0.191,0.000,0.000,0.000,0.000
TCGA-G7-A8LD-01A,0.000,0.000,0.000,0.018,0.000,0.000,0.893,0.006,0.035,0.009,0.005,0.031,0.003,0.000,0.000,0.000
TCGA-AL-3467-01A,0.000,0.001,0.000,0.001,0.000,0.000,0.968,0.000,0.017,0.005,0.006,0.000,0.000,0.000,0.000,0.000
