,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-KL-8327-01A,0.000,0.001,0.000,0.000,0.000,0.000,0.760,0.000,0.108,0.000,0.074,0.056,0.000,0.000,0.000,0.000
TCGA-KL-8343-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.775,0.000,0.087,0.000,0.078,0.058,0.000,0.000,0.000,0.000
TCGA-KL-8324-01A,0.002,0.000,0.002,0.000,0.000,0.000,0.813,0.000,0.077,0.000,0.059,0.042,0.000,0.003,0.000,0.000
TCGA-KN-8433-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.718,0.000,0.062,0.000,0.086,0.131,0.000,0.000,0.001,0.000
TCGA-KO-8417-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.841,0.000,0.081,0.000,0.040,0.031,0.002,0.004,0.000,0.000
TCGA-KM-8639-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.726,0.000,0.104,0.000,0.019,0.131,0.010,0.000,0.002,0.000
TCGA-KL-8340-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.724,0.000,0.098,0.000,0.104,0.071,0.000,0.000,0.001,0.000
TCGA-KO-8404-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.253,0.000,0.027,0.320,0.001,0.396,0.002,0.000,0.000,0.000
TCGA-KM-8440-01A,0.001,0.000,0.000,0.001,0.000,0.000,0.858,0.000,0.059,0.000,0.027,0.049,0.001,0.002,0.001,0.000
TCGA-KN-8436-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.867,0.000,0.091,0.000,0.021,0.020,0.001,0.000,0.000,0.000
TCGA-KN-8424-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.707,0.000,0.092,0.000,0.030,0.164,0.004,0.000,0.001,0.000
TCGA-KO-8406-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.831,0.000,0.080,0.000,0.033,0.054,0.000,0.000,0.000,0.000
TCGA-KM-8438-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.724,0.000,0.155,0.000,0.059,0.060,0.000,0.000,0.001,0.000
TCGA-KN-8418-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.865,0.000,0.060,0.000,0.038,0.034,0.001,0.000,0.001,0.000
TCGA-KL-8335-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.904,0.000,0.020,0.001,0.039,0.034,0.000,0.000,0.000,0.000
TCGA-KL-8345-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.818,0.000,0.086,0.000,0.049,0.045,0.001,0.000,0.000,0.000
TCGA-KO-8407-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.727,0.000,0.139,0.000,0.049,0.077,0.007,0.000,0.000,0.000
TCGA-KN-8421-01A,0.002,0.000,0.000,0.003,0.000,0.000,0.957,0.000,0.016,0.000,0.014,0.007,0.000,0.000,0.000,0.000
TCGA-KO-8415-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.814,0.000,0.036,0.000,0.027,0.111,0.000,0.007,0.000,0.000
TCGA-KM-8476-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.807,0.000,0.075,0.000,0.056,0.059,0.000,0.000,0.001,0.000
TCGA-KO-8408-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.838,0.000,0.040,0.000,0.078,0.042,0.001,0.000,0.001,0.000
