"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.UZ.A9PN.01A",0,0.0113341245399458,0,0.455496831410317,0.195951750547593,0,0,0,0,0.337217293502144
"TCGA.5P.A9JY.01A",0,0.00859532034156452,0,0.74828746564013,0.119305234089123,0,0,0,0,0.123811979929182
"TCGA.P4.A5E6.01A",0,0.0248316814177823,0,0.748823559607535,0.098582722464116,0,0,0,0,0.127762036510567
"TCGA.2Z.A9JO.01A",0,0.0764610582952119,0,0.686630615154984,0.114535293687034,0,0,0,0,0.122373032862771
"TCGA.5P.A9K4.01A",0,0,0,0.747692765583511,0.122904734995978,0,0,0,0,0.129402499420511
"TCGA.UN.AAZ9.01A",0,0,0,0.603855423613359,0.200694417330219,0,0,0,0.000218712691599193,0.195231446364823
"TCGA.SX.A71W.01A",0,0,0,0.636932186587549,0.167600531201431,0,0,0,0,0.19546728221102
"TCGA.MH.A855.01A",0,0.0878531564494635,0,0.601024938566596,0.135544196248349,0,0,0,0,0.175577708735591
"TCGA.B1.A47M.01A",0,0.0236796115099655,0,0.733389457485427,0.110966589006942,0,0,0,0,0.131964341997666
"TCGA.DZ.6133.01A",0,0,0,0.591497449408789,0.234421259436525,0,0,0,0,0.174081291154686
"TCGA.DW.7839.01A",0,0,0,0.565705877024781,0.279331158785541,0,0,0,0,0.154962964189678
"TCGA.5P.A9KF.01A",0,0.00682045849114104,0,0.687910146860985,0.151268178361331,0,0,0,0,0.154001216286543
"TCGA.SX.A7SP.01A",0,0.119974371336025,0,0.582597310115635,0.140913988553023,0,0,0,0,0.156514329995317
"TCGA.G7.6795.01A",0,0.012197628835346,0,0.757738141314297,0.131675342784322,0,0,0,0,0.0983888870660352
"TCGA.A4.A772.01A",0,0.067239408060491,0,0.628505179728756,0.148907854568849,0,0,0,0,0.155347557641905
"TCGA.BQ.5890.01A",0,0.0361072278790279,0,0.828253602945872,0.0787246520787061,0,0,0,0,0.0569145170963943
"TCGA.B9.7268.01A",0,0,0,0.618922361053847,0.212010179840724,0,0,0,0,0.169067459105429
"TCGA.AL.3466.01A",0,0,0,0.695025987683213,0.134142020439137,0,0,0,0,0.17083199187765
"TCGA.GL.8500.01A",0,0,0,0.697223336475272,0.160563727965625,0,0,0,0,0.142212935559104
"TCGA.A4.8517.01A",0,0.0463712535007506,0,0.62526669660006,0.186972163661458,0,0,0,0,0.141389886237731
