,B Cells_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Fibroblasts_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
IPICRC090.T1,152.700,446.491,38.286,108.831,36.336,18.788,51.580,111.608,108.831,231.886,719.765
IPICRC093.T1,308.269,359.796,54.518,96.619,39.548,63.971,31.853,94.942,144.819,148.067,984.376
IPIHNSC077.T1,10.616,712.751,455.203,248.856,21.369,1098.668,321.350,27.128,986.566,134.868,44.121
IPIHNSC078.T1,2.458,13.884,14.015,9.559,4.223,17.361,20.046,1.000,3.870,32.906,627.261
IPIHNSC079.T1,20.162,952.585,136.238,322.933,23.568,172.242,181.315,586.284,1089.327,439.655,4.904
IPILUNG088.T1,82.639,888.375,405.326,299.719,10.022,26.247,90.845,161.593,755.944,73.851,21.826
IPIMEL353.T1,87.535,82.038,98.322,234.105,5.106,1.000,47.639,1.000,702.209,25.763,1.000
IPISRC019.T1,4.912,41.276,15.916,77.517,30.633,2971.661,340.752,3.122,66.997,41.152,35.088
IPICRC071.T2,4.046,156.188,17.422,72.797,26.936,89.880,75.790,15.062,94.544,79.523,698.052
IPICRC077.T1,21.027,166.013,189.606,488.986,5.670,13.703,61.572,8.775,968.723,335.959,1373.458
IPICRC078.T2,4.047,36.855,10.580,133.655,7.478,4.170,41.840,1.671,3736.921,28.042,365.610
IPICRC079.T1,4.532,240.969,56.629,66.071,616.877,198.139,253.710,3.005,121.190,212.793,7.390
IPIGYN099.T1,3.865,16.736,10.532,7.776,15.228,324.654,6.107,2.474,20.659,60.430,1.000
IPIGYN105.T1,8.510,116.887,71.240,140.701,13.793,145.886,231.900,4.534,582.021,1344.651,457.014
IPIGYN106.T1,2.644,77.870,20.532,39.059,12.401,424.503,28.204,7.122,64.424,163.434,499.683
IPIKID100.T1,11.132,78.702,1195.131,55.251,15.877,1.735,205.785,14.653,2067.901,87.262,2.895
IPIKID102.T1,21.978,199.441,319.407,101.969,37.682,4.798,699.525,5.335,1309.770,249.204,11.290
IPIKID103.T1,36.764,277.576,309.659,188.313,14.855,4.871,325.034,20.418,2841.263,218.307,82.725
IPIKID104.T1,15.082,128.094,154.129,167.555,9.473,3.331,688.990,1.133,1087.719,511.943,3.794
IPIMEL343.T1,37.439,233.928,200.960,168.221,42.087,169.948,388.104,24.280,380.667,313.408,322.209
IPICRC070.T1,173.232,471.353,117.504,117.668,20.629,44.895,32.628,318.087,578.993,92.311,834.999
IPIGYN098.T1,13.803,367.008,45.874,132.983,57.795,69.612,207.415,72.413,207.434,133.398,327.727
IPIHNSC056.T1,110.195,1378.484,368.971,436.981,23.624,123.617,74.520,56.561,710.040,64.242,6.939
IPIKID050.T1,7.325,62.852,133.833,130.698,7.465,14.132,136.898,1.000,1103.658,1266.843,11.189
IPIKID061.T1,41.236,139.045,46.965,143.240,59.399,193.060,337.585,214.420,339.924,157.117,187.435
IPIKID070.T1,20.930,69.031,319.141,103.171,234.257,127.317,362.530,48.901,1570.387,85.688,25.353
IPIKID073.T1,1.000,5.946,1.687,9.372,26.755,46.827,22.545,27.718,18.202,20.795,818.941
IPILUNG064.T1,278.671,1556.366,111.552,583.558,19.877,7.130,39.135,31.439,1036.629,117.825,1.000
IPILUNG074.T1,112.224,410.525,24.486,99.756,38.693,62.354,385.703,160.737,114.957,75.969,231.632
IPIGBM006.T1,1.000,14.334,3.991,25.537,37.624,21.230,293.343,12.547,48.776,94.247,1.000
IPIGYN048.T1,64.689,599.758,717.699,446.273,5.175,11.521,57.783,13.515,1582.107,36.485,96.704
IPIGYN064.T1,19.569,284.641,312.826,309.132,9.699,21.099,55.187,5.760,1661.106,32.205,226.674
IPIGYN069.T1,40.185,707.257,303.068,134.179,42.422,97.138,251.092,5.938,1862.140,45.393,1.448
IPIGYN107.T1,11.168,121.056,181.108,80.174,60.290,221.358,274.804,31.768,223.723,27.542,555.815
IPIGYN108.T1,63.261,59.553,14.441,47.870,84.752,49.129,134.925,15.146,192.467,317.876,468.247
IPIGYN109.T1,30.632,183.909,65.889,118.441,15.733,286.569,127.211,1.512,291.684,123.516,120.881
IPIGYN116.T1,3.857,95.111,20.407,32.752,18.676,91.254,41.278,1.686,131.626,20.462,469.859
IPIGYN124.T1,571.761,562.798,75.465,199.584,16.367,715.409,115.310,1.000,79.665,40.053,125.090
IPIGYN125.T1,3.706,50.148,40.807,30.984,23.816,305.691,201.395,12.980,667.999,50.719,407.091
IPIPNET016.T1,29.845,224.534,61.352,272.631,174.514,236.212,180.798,224.723,394.405,352.189,130.748
IPICRC032.T1,1.000,116.636,9.900,155.008,48.384,49.060,862.320,1.460,96.087,165.211,193.196
IPICRC035.T1,5.471,32.442,54.182,61.779,6.484,57.375,17.273,29.276,8.894,142.601,2065.409
IPICRC062.T1,7.825,267.615,494.272,388.996,3.639,2.364,67.757,2.772,3001.659,158.764,90.954
IPIKID060.T1,31.834,231.063,50.753,58.692,23.903,10.278,114.313,10.939,510.842,275.941,80.532
IPIKID062.T1,7.102,105.101,41.737,60.831,288.356,47.643,369.959,35.468,202.155,149.831,87.285
IPIKID066.T1,17.961,157.959,97.904,162.896,24.733,18.811,418.417,15.778,709.571,167.026,26.108
IPIKID069.T1,32.590,111.743,1005.923,179.801,12.452,9.524,90.311,2.232,2479.760,21.988,3.133
IPIKID074.T1,165.981,285.819,61.256,269.565,21.565,4.745,443.377,6.017,1427.194,1786.587,7.953
IPILUNG008.T1,7.256,270.158,53.365,86.142,41.599,57.448,219.041,145.303,154.762,142.952,244.937
IPILUNG009.T1,46.514,371.643,63.699,175.130,36.074,72.421,31.464,9.388,505.597,63.616,299.025
IPILUNG011.T1,490.000,160.920,56.619,289.422,8.586,86.964,161.606,19.310,566.916,156.843,458.579
IPILUNG013.T1,742.328,467.047,230.735,278.912,8.248,11.128,82.684,29.106,334.648,72.421,38.727
IPILUNG014.T1,28.825,150.916,46.768,161.877,21.668,16.294,118.509,35.316,97.688,83.380,444.932
IPILUNG015.T1,269.376,604.144,151.033,493.903,19.510,7.164,131.350,46.703,542.812,66.903,91.533
IPILUNG066.T1,209.418,941.162,169.453,288.297,8.961,93.144,174.972,221.825,765.596,433.067,21.974
IPILUNG069.T1,52.334,453.907,92.345,136.179,38.540,80.594,209.974,23.054,220.699,93.110,660.426
IPILUNG070.T1,28.944,431.158,49.226,176.605,41.093,625.053,420.493,16.741,167.263,154.526,143.373
IPISRC014.T1,80.598,210.227,553.705,90.889,15.670,121.996,194.638,10.231,766.649,47.180,1.000
IPISRC015.T1,6.793,14.985,27.142,19.386,18.328,741.449,30.618,35.157,68.358,54.019,122.855
IPIBLAD013.T1,6.004,157.076,70.780,38.417,20.044,243.628,31.823,22.409,269.954,302.739,889.384
IPIBLAD014.T1,26.563,193.503,446.286,431.429,26.076,430.318,64.608,54.983,2292.703,148.451,832.416
IPIGYN025.T1,1.000,3.538,13.857,3.597,3.517,382.600,7.048,9.757,18.174,36.927,15.942
IPIGYN045.T1,18.908,408.543,29.035,178.406,34.626,82.660,349.849,14.593,936.426,805.924,254.942
IPIGYN065.T1,19.889,235.707,166.273,223.672,41.739,62.554,266.167,68.107,547.148,115.687,199.250
IPIHEP013.T1,288.775,1160.348,384.895,194.953,26.869,9.566,129.089,29.071,995.321,32.402,2.686
IPIHNSC030.T1,26.304,2540.008,297.188,543.233,94.270,487.846,18.896,1.775,940.461,45.410,3.163
IPIKID057.T1,31.728,396.183,263.074,149.481,102.095,5.626,384.555,26.273,1272.148,297.710,13.377
IPILUNG049.T1,12.392,487.585,107.942,177.930,6.278,114.681,17.863,5.335,3748.770,171.947,522.037
IPILUNG056.T1,180.549,445.592,319.486,376.020,4.350,18.660,31.471,6.125,701.317,62.517,232.545
IPIMEL208.T1,147.220,26.203,249.989,878.661,2.044,7.383,74.406,23.537,4550.332,543.717,1.727
IPIMEL212.T1,313.577,2299.010,623.732,345.915,4.721,33.843,13.596,1.000,918.707,60.978,4.768
IPIMEL221.T1,18.835,304.874,1037.415,836.317,15.063,1.629,45.463,1.000,1871.302,145.060,8.246
IPIMEL296.T1,1682.630,457.374,116.603,420.911,33.809,24.678,19.212,1.000,124.011,34.818,83.933
IPIPNET005.T1,1.000,43.557,9.974,13.686,27.535,13.601,58.691,1.000,84.960,215.694,257.138
IPIPNET007.T1,15.163,55.676,34.854,109.473,33.006,178.476,490.927,235.803,390.566,199.277,80.535
IPIGYN043.T1,11.611,129.353,66.377,456.849,38.464,234.450,316.720,116.443,5750.774,90.167,96.000
IPIGYN078.T1,3.649,562.409,80.039,119.828,8.210,17.768,106.822,26.058,198.393,35.178,352.760
IPIHEP016.T1,1098.608,1539.510,170.465,209.675,9.500,56.910,54.995,35.911,377.550,71.882,1.000
IPIKID043.T1,20.244,1188.668,141.961,107.674,5.862,1.000,71.962,116.692,393.021,60.346,11.610
IPIKID051.T1,1.665,256.734,263.245,248.902,12.070,2.562,317.574,21.651,1168.330,35.818,10.996
IPILUNG037.T1,255.121,2053.054,214.954,238.710,12.424,18.128,24.227,16.876,481.596,29.769,14.351
IPILUNG041.T1,469.755,2082.085,179.409,213.744,10.042,4.319,70.870,26.278,229.288,17.239,64.477
IPILUNG054.T1,59.273,683.517,35.487,110.484,22.976,24.124,134.430,42.849,108.700,36.993,235.703
IPILUNG058.T1,190.088,697.992,68.368,143.539,24.761,17.181,241.873,317.133,202.830,89.266,102.413
IPILUNG062.T1,479.053,651.192,57.570,132.411,11.460,26.761,225.298,79.747,150.793,51.619,75.414
IPICRC054.T1,7.715,409.831,257.878,94.077,34.486,13.061,171.623,1.120,454.988,134.026,1.000
IPICRC055.T1,191.204,677.606,56.409,95.502,27.680,644.362,176.488,108.637,156.701,429.618,118.469
IPIGYN040.T1,10.321,141.826,85.682,51.018,40.650,101.374,401.308,21.944,179.520,257.309,213.742
IPIGYN082.T1,75.301,1181.080,145.394,208.439,40.712,34.575,252.071,18.806,842.026,139.315,92.989
IPIGYN083.T1,3.888,181.819,148.080,200.476,40.629,185.485,260.953,22.133,1423.084,577.704,274.085
IPIKID052.T1,35.253,614.329,387.872,199.552,8.429,22.718,84.932,5.731,1524.639,186.335,31.243
IPIKID076.T1,60.492,222.970,80.835,75.771,12.288,7.566,436.749,8.645,495.948,1398.030,13.101
IPIKID077.T1,52.975,142.298,174.199,269.989,18.720,10.565,431.088,80.422,2227.494,679.221,113.610
IPILUNG051.T1,195.744,270.724,121.406,139.216,16.560,35.519,18.787,2.009,840.940,36.839,228.284
