,B Cells_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Fibroblasts_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
IPIMEL105.T2,958.632,336.981,97.508,529.829,20.618,75.604,1.000,1.000,4.321,52.860,1.000
IPIMEL108.T1,4.618,1.555,16.075,7.376,2.087,152.275,7.575,1.000,42.068,51.906,1.000
IPIMEL113.T1,12.349,153.036,221.486,785.983,3.645,17.310,25.796,7.973,6105.982,43.623,183.811
IPIBLAD006.T1,1.000,479.957,7.366,62.493,43.387,2050.368,290.263,16.345,15.003,55.267,134.688
IPIHNSC050.T1,37.480,520.202,32.280,169.219,32.936,264.553,442.843,970.540,355.049,277.003,42.037
IPIMEL175.T1,1.000,175.521,1.979,94.140,15.447,1.572,531.001,1.000,65.820,193.360,21.951
IPIGYN018.T2,101.360,584.327,102.523,418.581,1.000,72.306,96.791,1.000,1042.688,10.865,128.840
IPIKID033.T2,28.659,71.649,393.664,469.996,1.653,1.366,66.234,1.433,972.691,333.910,3.784
IPILUNG025.T1,1.000,81.241,4.893,22.690,4.918,11.194,15.897,3.452,18.869,25.405,515.180
IPILUNG031.T1,35.378,23.673,65.628,50.969,4.366,1.000,432.913,31.820,296.569,2654.325,1.000
IPILUNG037.T2,305.351,2.250,1.271,174.961,4.310,100.662,101.887,1.000,1.000,5.916,1.000
IPIGYN007.T1,188.343,59.418,22.483,180.542,20.235,885.076,51.070,98.474,701.121,121.483,446.581
IPIGYN011.T1,1.000,10.501,20.880,16.907,1.117,22.079,8.070,8.910,6.906,30.203,396.665
IPIGYN011.T2,3.295,7.047,33.278,5.344,6.003,22.642,16.682,6.253,21.402,40.798,315.648
IPIGYN013.T1,598.038,1067.497,74.041,167.032,46.665,10.867,393.314,24.916,45.356,54.979,154.863
IPIMEL141.T2,11.437,14.267,5.557,4.329,23.104,31.567,9.682,1.000,19.704,42.698,3.400
IPIMEL146.T1,608.856,2849.337,105.654,377.591,20.317,46.393,80.732,1.000,374.641,22.866,1.000
IPIBLAD005.T1,2.927,1078.693,179.566,165.778,36.229,1.000,451.333,1.480,460.520,109.291,37.862
IPIGYN003.T1,89.195,767.721,117.928,98.145,57.667,143.251,97.530,18.195,317.483,165.934,373.086
IPILUNG003.T1,297.849,1228.203,92.466,329.740,16.135,227.312,137.926,68.802,510.763,47.894,6.354
IPILUNG006.T1,224.111,286.258,82.411,141.174,32.302,8.995,329.801,132.788,166.043,77.195,169.454
