	Sample_1976.0	Sample_3250.0	Sample_3250.1	Sample_3266.0	Sample_3281.0	Sample_3288.0	Sample_3288.1	Sample_3290.0
NOC2L	52.24829823781677	73.30665857867756	94.84008636414643	70.05432201319805	43.17359980864271	33.68270989569709	22.555077004941953	45.281487917952596
HES4	38.808413329768726	94.09575580911553	51.09744142560189	23.779339777863232	1.4589417306096333	0.5654580270891442	5.5272708551834855	3.3892523787595006
ISG15	554.0988302310869	1194.5257207055733	1342.3437678786865	688.520704042691	906.6932585540784	300.07067356468366	188.03895503662758	171.31118206959562
AGRN	56.71790274192007	22.32894204350237	37.559467313041296	62.595063456178295	2.438614341215376	2.0241542624642075	8.985408637165984	6.783968337855233
C1orf159	6.766896803128974	0.0	3.7987559645035938	5.0448658933612	1.1888483267303112	15.431955026825545	2.486738400285	3.0351186985650203
TNFRSF18	3.2940707336392188	311.198887671404	14.621452718075242	122.90825128165821	5.927101253602794	5.852260999042702	2.545927544651576	4.160676937267195
TNFRSF4	2.0536272889784364	135.41137767812336	4.4684775741642335	37.15330175623619	4.518942964265748	1.4203973033178796	0.931156118682625	2.6594355434221013
SDF4	88.730809716045	155.3770254009976	141.06258168943353	178.9509406533965	77.11199792069948	69.12111591779754	107.88418975903306	113.35264315943786
B3GALT6	20.4488155261317	3.3523973972330117	11.198161650132274	11.907924439202333	3.4472216847638224	7.427276756454781	6.149009228703798	8.433464963216522
UBE2J2	85.19748832339656	86.82948561300259	93.57471783669529	114.59207828560561	61.36041876174616	51.561953972023055	43.56422380391373	59.17068499989251
ACAP3	10.035190247487936	4.304883603888642	12.4681666235887	13.928963192831374	7.390901464000835	5.619127272063774	4.836778394272571	5.40328834556083
PUSL1	27.503728495268003	76.95893710674315	24.354367926572976	32.742061655952604	11.187614359292212	7.826737174158472	11.992230083113544	16.732775913787467
CPSF3L	52.13740652227061	51.92488658848375	64.42332655666276	56.44884129505324	39.77618243464532	31.72893799115405	27.900008857117953	40.37881248865809
DVL1	21.912605932212802	0.644451382573571	5.623355838789066	9.173631662257176	1.4975096213822228	2.535478272977404	2.08002920811022	2.7307586545700184
