Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Mast Cells,Myeloid cells,T Cells,P-value,Correlation,RMSE
TCGA-4T-AA8H-01A,0.0880274018093588,0.864624899109652,0.0472466478828632,0,0.000101051198126568,0,0,0,0.134581505640063,1.15968637496413
TCGA-AA-A00Q-01A,0.0933450932427257,0.610436581905248,0.17711212003109,0.074254223473989,0,0.0448519813469475,0,0,0.143572595769079,1.07319761520046
TCGA-AZ-4614-01A,0.131475734726732,0.673872341146285,0.156626979374225,0.0101022866107564,0,0.0279226581420013,0,0,0.11347213465995,1.10583017130679
TCGA-A6-2675-01A,0.0706375788323834,0.24182155265523,0.0870615430882778,0.420712715305691,0,0.179766610118417,0,0,0.230983629163855,1.01421837054
TCGA-AA-A00U-01A,0.0658991204644743,0.713902384319636,0.176561458099985,0.0261153140613736,0,0.017521723054531,0,0,0.140241527946519,1.10399677666035
TCGA-A6-6781-01A,0.0712277127939899,0.132702912776336,0.13159620005235,0.48938462069637,0,0.175088553680955,0,0,0.255492172492521,1.01088505895706
TCGA-CM-6169-01A,0.0196939107132059,0.180819180172735,0.213034746979745,0.363523407493177,0,0.201976815389482,0.0209519392516555,0,0.360274813302764,0.942605641608876
TCGA-AA-3516-01A,0.0670211424040708,0.684633959839078,0.145367957766349,0.0256868606591562,0.00153724542969084,0.075752833901655,0,0,0.23940728292876,1.03915557950373
TCGA-AA-3552-01A,0.170880249264326,0.482890440698425,0.130100073244878,0.0910501618772059,0.00382319004541908,0.121255884869746,0,0,0.20727623172826,1.01729936125903
TCGA-D5-6931-01A,0.174764202253056,0.360322612540132,0.120645799847376,0.231417690921213,0.00694590581118395,0.105903788627039,0,0,0.179922569460621,1.01965608624362
TCGA-SS-A7HO-01A,0.207691104130435,0.211567033638175,0.523790061510241,0.0139822612903962,0,0.0429695394307526,0,0.01,0.0673445600670515,1.05227681641613
TCGA-AZ-6605-01A,0.0668613438801755,0.207754765664062,0.155027473751008,0.468380362501822,0,0.101976054202932,0,0,0.372906404526215,0.942104839523591
TCGA-CA-6717-01A,0.0562528199790626,0.269642770466212,0.129596874799624,0.363673046793879,0.00450462602599404,0.154199337102161,0.0221305248330677,0,0.388469392150809,0.92677087367233
TCGA-NH-A8F7-01A,0.0318074892622388,0.428176056956088,0.344184115791997,0.0667090352545582,0,0.129123302735118,0,0,0.112845166600931,1.05805639741473
TCGA-AD-6965-01A,0.0293036263149807,0.586399542786576,0.221825395247828,0.143141453030005,0.0010307639516325,0.018299218668978,0,0,0.168893655911567,1.05913481648169
TCGA-AA-A02H-01A,0.12721858035516,0.471163750468979,0.147639518857679,0.144016039948058,0,0.109962110370124,0,0,0.162328514618468,1.03830833500409
TCGA-AA-A022-01A,0.110083696583793,0.329127339105201,0.11472720201087,0.114749893355554,0.0036537921590376,0.31400569838204,0.0136523784035057,0,0.35484756257326,0.943756766373082
TCGA-AA-3680-01A,0.1577007706436,0.53808290820773,0.166469153140349,0.0880459864342454,0.0010376413878475,0.0486635401862288,0,0,0.129413258411548,1.06255463758623
TCGA-A6-6650-01A,0.102015458651983,0.542271715496442,0.296408601596306,0.0593042242552689,0,0,0,0,0.0897009551035567,1.08564293792526
TCGA-G4-6311-01A,0.162551914372912,0.342436360183001,0.119268627396302,0.217284782762405,0.0051688913838613,0.153289423901519,0,0,0.244634689138046,0.990535582367577
TCGA-A6-2677-01B,0.0935938869574394,0.255594821131722,0.272170314106053,0.378640977804786,0,0,0,0,0.156874034763018,1.04604487545294
TCGA-AA-3815-01A,0.095516874040918,0.251626345931067,0.154243435921677,0.080393616398457,0.00177530285679353,0.351267853279076,0.0651765715720118,0,0.203261853076203,1.01589701752203
TCGA-CK-4951-01A,0.031329971155879,0.397946834080323,0.0919348802970735,0.285847450903723,0.00212976225569886,0.190811101307302,0,0,0.259886086558706,0.996492992712888
TCGA-CK-6748-01A,0.0510429591813518,0.369559491823617,0.0841324154873937,0.357176174896047,0,0.13808895861159,0,0,0.211604017481992,1.02259429888562
TCGA-CA-5255-01A,0.040203070736558,0.91445725248478,0.0427160692461034,0.000329940318698308,0.00229366721386051,0,0,0,0.128017927029165,1.18436722376796
TCGA-CK-4952-01A,0.10459959401141,0.753332202068309,0.0814217387487957,0.019049014674695,0.000793538864455095,0.0408039116323349,0,0,0.158856001935381,1.10485213372504
TCGA-AZ-4315-01A,0.0933850311855078,0.56698303624835,0.112521207266606,0.075853631242367,0.00014729043537936,0.15110980362179,0,0,0.1581736714587,1.0596091730989
