"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.94.7943.01A",0,0,0.106992226865946,0,0.339372369645905,0.521047155244284,0.0325882482438649
"TCGA.68.8251.01A",0,0,0.0689673314160756,0,0.404556421278148,0.260911391786473,0.265564855519303
"TCGA.33.A5GW.01A",0,0,0,0,0.292349700583361,0.707650299416639,0
"TCGA.85.8070.01A",0,0,0,0,0.248674449495827,0.751325550504173,0
"TCGA.85.8479.01A",0,0,0,0,0.479096984053747,0.520903015946253,0
"TCGA.22.5482.01A",0,0,0.020214680195088,0,0.269160381476644,0.406639003511309,0.303985934816959
"TCGA.21.1077.01A",0,0,0.114158292831633,0,0.244174157471854,0.299414842025319,0.342252707671194
"TCGA.43.6773.01A",0,0,0.351620926721906,0,0.268606930762684,0.0293778873072737,0.350394255208137
"TCGA.34.8455.01A",0,0,0.00839945217755808,0,0.234366051566783,0.090780867719203,0.666453628536456
"TCGA.85.7950.01A",0,0.0287664352395484,0.06815947937066,0,0.583138974655643,0.0552055012885908,0.264729609445558
"TCGA.60.2715.01A",0,0,0.286788162913749,0,0.361626629552692,0,0.351585207533559
"TCGA.85.A5B5.01A",0,0,0.0276149070247835,0,0.312828958405276,0.535137366256078,0.124418768313863
"TCGA.33.4583.01A",0,0.0176790303898111,0.108171239015874,0,0.254228993085332,0.583764782458266,0.0361559550507172
"TCGA.60.2725.01A",0,0,0.393791624065095,0,0.366595882091994,0.0283319393442483,0.211280554498663
"TCGA.85.8072.01A",0,0,0.277560345683984,0,0.310435359326478,0.327125900392611,0.0848783945969264
"TCGA.22.4601.01A",0,0,0.132188343729185,0,0.388367639076115,0.4794440171947,0
"TCGA.66.2781.01A",0,0,0.0546769165943159,0,0.214951975419963,0.428363774164705,0.302007333821016
"TCGA.22.0940.01A",0,0.00486569395037692,0.265280395894262,0,0.265139126657027,0.139608130186629,0.325106653311706
"TCGA.43.6143.01A",0,0,0.0891124984036594,0,0.413118900359421,0.29920919847626,0.198559402760659
"TCGA.39.5021.01A",0,0,0.324227180587041,0,0.18737941435574,0.353985003914247,0.134408401142972
"TCGA.22.1012.01A",0,0,0.0938109504462307,0,0.207392844846976,0.500404625105834,0.19839157960096
"TCGA.33.AASL.01A",0,0,0.000417131712931097,0,0.305420218910689,0.69416264937638,0
"TCGA.33.4533.01A",0,0,0,0,0.415818282117632,0.203713724812154,0.380467993070214
"TCGA.43.6647.01A",0,0,0.0938202865684593,0,0.10182030951829,0,0.80435940391325
"TCGA.77.6845.01A",0,0,0,0,0.257147701893357,0.742852298106643,0
"TCGA.56.8504.01A",0,0,0.114959723719708,0,0.37293425662157,0.34733534620278,0.164770673455942
"TCGA.56.8629.01A",0,0,0.0970881457086993,0,0.250895696973784,0.459973897675557,0.19204225964196
"TCGA.63.A5MY.01A",0,0,0,0,0.017842748966724,0.982157251033276,0
"TCGA.37.4130.01A",0,0.409006600664899,0.294694834310345,0,0.0845319108671735,0.211766654157583,0
"TCGA.22.1002.01A",0,0,0.0732536556773913,0,0.595598034979695,0.0924348487703346,0.238713460572579
"TCGA.18.3410.01A",0,0.23410348168202,0.180175426735328,0,0.343654110670319,0.192808182075641,0.0492587988366922
"TCGA.39.5011.01A",0,0,0.682927441577385,0,0.0466099275734339,0.228498202457104,0.0419644283920765
