,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-FY-A40K-01A,0.002,0.000,0.018,0.010,0.004,0.009,0.008,0.175,0.067,0.014,0.142,0.002,0.000,0.003,0.000,0.545,0.545
TCGA-EL-A4K6-01A,0.010,0.000,0.000,0.000,0.002,0.000,0.001,0.062,0.000,0.002,0.010,0.010,0.000,0.000,0.000,0.902,0.902
TCGA-EL-A3H3-01A,0.000,0.000,0.022,0.004,0.002,0.000,0.026,0.070,0.048,0.003,0.092,0.000,0.000,0.001,0.000,0.730,0.730
TCGA-BJ-A290-01A,0.000,0.000,0.012,0.004,0.000,0.000,0.000,0.145,0.073,0.072,0.021,0.000,0.000,0.000,0.000,0.673,0.673
TCGA-BJ-A28Z-01A,0.073,0.014,0.065,0.029,0.032,0.000,0.031,0.100,0.133,0.015,0.153,0.001,0.001,0.003,0.001,0.350,0.350
TCGA-CE-A484-01A,0.007,0.000,0.000,0.000,0.009,0.000,0.001,0.183,0.015,0.110,0.021,0.001,0.000,0.001,0.000,0.650,0.650
TCGA-EM-A3FL-01A,0.048,0.006,0.003,0.000,0.001,0.000,0.000,0.088,0.000,0.031,0.017,0.001,0.000,0.000,0.000,0.804,0.804
TCGA-EL-A3GO-01A,0.002,0.000,0.000,0.004,0.008,0.000,0.000,0.317,0.000,0.088,0.035,0.012,0.000,0.004,0.000,0.529,0.529
TCGA-ET-A39T-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.084,0.003,0.012,0.035,0.000,0.000,0.000,0.000,0.862,0.862
TCGA-EM-A2CK-01A,0.017,0.000,0.001,0.005,0.001,0.000,0.000,0.196,0.000,0.060,0.016,0.006,0.000,0.001,0.000,0.698,0.698
TCGA-DJ-A4UQ-01A,0.010,0.000,0.015,0.003,0.012,0.000,0.004,0.146,0.125,0.032,0.045,0.003,0.000,0.002,0.000,0.603,0.603
TCGA-DJ-A3UO-01A,0.001,0.000,0.007,0.006,0.000,0.000,0.001,0.113,0.073,0.016,0.040,0.005,0.000,0.001,0.000,0.737,0.737
TCGA-DJ-A1QM-01A,0.008,0.000,0.019,0.002,0.001,0.000,0.013,0.132,0.204,0.026,0.043,0.003,0.000,0.002,0.000,0.546,0.546
TCGA-ET-A3BS-01A,0.097,0.000,0.043,0.025,0.012,0.000,0.005,0.099,0.053,0.012,0.137,0.001,0.000,0.002,0.000,0.511,0.511
TCGA-EM-A3AO-01A,0.023,0.000,0.017,0.007,0.005,0.000,0.007,0.195,0.007,0.066,0.060,0.002,0.000,0.000,0.000,0.611,0.611
TCGA-DJ-A3UN-01A,0.007,0.000,0.007,0.009,0.000,0.000,0.000,0.165,0.018,0.039,0.084,0.005,0.000,0.002,0.000,0.664,0.664
TCGA-DJ-A13W-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.000,0.079,0.005,0.000,0.000,0.000,0.000,0.669,0.669
TCGA-DJ-A3VE-01A,0.000,0.000,0.003,0.005,0.000,0.000,0.002,0.192,0.096,0.015,0.035,0.003,0.000,0.001,0.000,0.649,0.649
TCGA-DJ-A3VI-01A,0.007,0.000,0.002,0.003,0.000,0.000,0.000,0.069,0.005,0.001,0.022,0.000,0.000,0.000,0.000,0.891,0.891
TCGA-EM-A2CO-01A,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.000,0.095,0.025,0.000,0.000,0.000,0.000,0.781,0.781
TCGA-ET-A39L-01A,0.008,0.000,0.002,0.003,0.010,0.000,0.000,0.256,0.010,0.071,0.038,0.005,0.000,0.002,0.000,0.594,0.594
TCGA-EM-A3FO-01A,0.000,0.000,0.002,0.000,0.001,0.000,0.001,0.029,0.064,0.000,0.010,0.008,0.000,0.001,0.000,0.884,0.884
TCGA-E8-A418-01A,0.000,0.000,0.007,0.007,0.000,0.000,0.001,0.050,0.001,0.001,0.053,0.002,0.000,0.000,0.000,0.879,0.879
TCGA-DE-A4M9-01A,0.009,0.000,0.004,0.001,0.002,0.000,0.000,0.103,0.005,0.065,0.029,0.001,0.000,0.002,0.000,0.779,0.779
TCGA-BJ-A28W-01A,0.100,0.164,0.102,0.010,0.053,0.047,0.070,0.065,0.044,0.021,0.083,0.000,0.006,0.002,0.001,0.230,0.230
