,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-66-2756-01A,0.038,0.001,0.001,0.005,0.012,0.000,0.827,0.000,0.020,0.048,0.019,0.027,0.001,0.000,0.002,0.000
TCGA-58-8390-01A,0.004,0.000,0.008,0.012,0.002,0.000,0.700,0.025,0.022,0.183,0.002,0.040,0.000,0.000,0.001,0.000
TCGA-77-A5GB-01B,0.040,0.000,0.006,0.027,0.002,0.000,0.653,0.017,0.035,0.151,0.001,0.065,0.001,0.000,0.001,0.001
TCGA-O2-A52S-01A,0.019,0.000,0.005,0.018,0.012,0.000,0.775,0.028,0.023,0.037,0.004,0.079,0.001,0.000,0.000,0.000
TCGA-60-2713-01A,0.009,0.000,0.012,0.008,0.028,0.000,0.514,0.015,0.034,0.186,0.001,0.189,0.001,0.000,0.000,0.000
TCGA-37-A5EN-01A,0.007,0.009,0.006,0.016,0.003,0.000,0.844,0.022,0.018,0.047,0.006,0.019,0.003,0.000,0.000,0.000
TCGA-56-8626-01A,0.010,0.000,0.006,0.009,0.006,0.000,0.679,0.008,0.068,0.121,0.021,0.069,0.001,0.000,0.000,0.000
TCGA-L3-A4E7-01A,0.022,0.000,0.002,0.010,0.007,0.000,0.795,0.016,0.045,0.026,0.016,0.048,0.001,0.001,0.013,0.000
TCGA-22-5472-01A,0.000,0.000,0.003,0.006,0.007,0.000,0.738,0.023,0.078,0.046,0.009,0.081,0.001,0.003,0.004,0.001
TCGA-63-A5MW-01A,0.000,0.000,0.001,0.013,0.010,0.000,0.691,0.009,0.043,0.193,0.026,0.013,0.001,0.000,0.000,0.000
TCGA-63-A5M9-01A,0.012,0.001,0.003,0.007,0.010,0.000,0.799,0.013,0.022,0.055,0.010,0.065,0.002,0.000,0.000,0.000
TCGA-60-2710-01A,0.010,0.001,0.013,0.016,0.001,0.000,0.643,0.037,0.047,0.138,0.011,0.078,0.003,0.001,0.000,0.000
TCGA-77-6843-01A,0.000,0.000,0.004,0.000,0.003,0.000,0.891,0.008,0.023,0.012,0.017,0.040,0.001,0.000,0.000,0.000
TCGA-21-5786-01A,0.032,0.000,0.005,0.011,0.013,0.000,0.768,0.007,0.027,0.114,0.002,0.020,0.001,0.000,0.000,0.000
TCGA-68-7755-01A,0.006,0.000,0.003,0.008,0.002,0.000,0.824,0.007,0.036,0.066,0.013,0.030,0.003,0.000,0.000,0.000
TCGA-85-A50Z-01A,0.011,0.000,0.003,0.015,0.000,0.000,0.899,0.004,0.010,0.013,0.000,0.006,0.000,0.007,0.031,0.000
TCGA-66-2737-01A,0.026,0.000,0.007,0.005,0.009,0.000,0.577,0.016,0.020,0.219,0.010,0.106,0.003,0.001,0.000,0.000
TCGA-NC-A5HK-01A,0.018,0.000,0.000,0.046,0.000,0.000,0.852,0.000,0.022,0.040,0.013,0.006,0.000,0.001,0.001,0.000
TCGA-85-A4JC-01A,0.019,0.000,0.003,0.006,0.006,0.000,0.716,0.010,0.035,0.145,0.011,0.026,0.002,0.000,0.019,0.001
TCGA-58-A46J-01A,0.012,0.000,0.002,0.012,0.001,0.000,0.783,0.008,0.071,0.026,0.013,0.059,0.002,0.000,0.010,0.001
TCGA-46-6026-01A,0.002,0.003,0.001,0.002,0.007,0.002,0.907,0.004,0.015,0.020,0.025,0.009,0.000,0.000,0.001,0.000
TCGA-46-3765-01A,0.042,0.000,0.003,0.006,0.011,0.000,0.779,0.004,0.021,0.077,0.002,0.052,0.000,0.000,0.001,0.000
TCGA-O2-A52V-01A,0.017,0.003,0.021,0.002,0.000,0.000,0.758,0.023,0.024,0.103,0.005,0.038,0.003,0.000,0.001,0.001
TCGA-92-7341-01A,0.012,0.000,0.008,0.003,0.003,0.000,0.736,0.004,0.025,0.134,0.000,0.071,0.002,0.000,0.000,0.000
TCGA-51-4080-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.929,0.001,0.020,0.013,0.005,0.029,0.001,0.000,0.000,0.000
TCGA-21-1076-01A,0.013,0.002,0.030,0.005,0.022,0.000,0.390,0.038,0.063,0.155,0.009,0.268,0.004,0.001,0.001,0.000
TCGA-56-7730-01A,0.002,0.000,0.000,0.003,0.001,0.000,0.917,0.000,0.024,0.016,0.018,0.016,0.000,0.000,0.000,0.000
TCGA-NC-A5HO-01A,0.001,0.000,0.000,0.020,0.003,0.000,0.923,0.007,0.012,0.013,0.000,0.013,0.001,0.000,0.006,0.001
TCGA-21-1079-01A,0.008,0.000,0.009,0.005,0.000,0.000,0.677,0.008,0.101,0.138,0.014,0.032,0.002,0.000,0.004,0.000
TCGA-21-1076-01A.1,0.013,0.002,0.030,0.005,0.022,0.000,0.390,0.038,0.063,0.155,0.009,0.268,0.004,0.001,0.001,0.000
TCGA-NC-A5HT-01A,0.002,0.000,0.001,0.003,0.000,0.000,0.883,0.000,0.058,0.029,0.022,0.000,0.000,0.000,0.000,0.000
TCGA-56-6545-01A,0.027,0.001,0.028,0.012,0.002,0.000,0.435,0.026,0.067,0.288,0.009,0.101,0.001,0.000,0.001,0.001
TCGA-85-8582-01A,0.014,0.015,0.013,0.006,0.003,0.000,0.488,0.007,0.050,0.341,0.016,0.044,0.001,0.000,0.001,0.001
TCGA-66-2787-01A,0.026,0.003,0.004,0.012,0.039,0.000,0.696,0.014,0.022,0.080,0.005,0.094,0.004,0.000,0.000,0.000
TCGA-60-2698-01A,0.009,0.000,0.009,0.011,0.022,0.000,0.657,0.021,0.062,0.057,0.009,0.138,0.004,0.001,0.001,0.001
TCGA-O2-A5IB-01A,0.006,0.001,0.001,0.011,0.000,0.000,0.923,0.005,0.014,0.024,0.009,0.005,0.000,0.000,0.000,0.000
TCGA-22-1000-01A,0.036,0.000,0.013,0.005,0.015,0.000,0.372,0.047,0.068,0.283,0.009,0.147,0.002,0.001,0.001,0.001
TCGA-56-8083-01A,0.004,0.000,0.001,0.008,0.014,0.000,0.757,0.005,0.034,0.127,0.035,0.013,0.001,0.000,0.000,0.000
TCGA-66-2763-01A,0.020,0.002,0.002,0.017,0.001,0.000,0.857,0.008,0.019,0.014,0.001,0.047,0.004,0.000,0.006,0.000
