,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-55-A493-01A,0.015,0.012,0.023,0.027,0.031,0.001,0.072,0.033,0.045,0.012,0.112,0.005,0.000,0.002,0.000,0.611,0.611
TCGA-49-6744-01A,0.034,0.005,0.047,0.008,0.010,0.001,0.082,0.097,0.143,0.027,0.151,0.007,0.000,0.016,0.000,0.371,0.371
TCGA-49-4494-01A,0.004,0.000,0.014,0.009,0.002,0.000,0.019,0.029,0.027,0.006,0.081,0.004,0.000,0.001,0.001,0.803,0.803
TCGA-78-7143-01A,0.001,0.010,0.022,0.001,0.001,0.002,0.075,0.027,0.027,0.010,0.100,0.006,0.000,0.007,0.000,0.709,0.709
TCGA-99-AA5R-01A,0.028,0.042,0.023,0.002,0.025,0.002,0.059,0.222,0.091,0.078,0.136,0.010,0.008,0.012,0.002,0.260,0.260
TCGA-55-8085-01A,0.035,0.016,0.018,0.031,0.000,0.000,0.023,0.025,0.028,0.017,0.121,0.000,0.000,0.001,0.000,0.683,0.683
TCGA-44-8117-01A,0.011,0.000,0.009,0.007,0.006,0.001,0.013,0.041,0.075,0.024,0.081,0.005,0.000,0.000,0.000,0.729,0.729
TCGA-55-8506-01A,0.015,0.000,0.005,0.012,0.011,0.000,0.001,0.042,0.064,0.011,0.122,0.004,0.001,0.010,0.001,0.701,0.701
TCGA-NJ-A7XG-01A,0.001,0.000,0.007,0.001,0.000,0.000,0.035,0.018,0.018,0.008,0.002,0.009,0.000,0.005,0.000,0.894,0.894
TCGA-05-4384-01A,0.003,0.000,0.010,0.000,0.006,0.000,0.013,0.089,0.041,0.053,0.120,0.006,0.001,0.019,0.000,0.639,0.639
TCGA-64-1679-01A,0.006,0.000,0.015,0.000,0.001,0.001,0.033,0.041,0.214,0.007,0.120,0.008,0.000,0.004,0.000,0.550,0.550
TCGA-73-4666-01A,0.000,0.001,0.010,0.048,0.038,0.000,0.001,0.027,0.030,0.001,0.181,0.001,0.000,0.015,0.000,0.647,0.647
TCGA-55-8616-01A,0.010,0.023,0.011,0.000,0.018,0.004,0.022,0.026,0.057,0.023,0.049,0.003,0.000,0.000,0.000,0.752,0.752
TCGA-38-6178-01A,0.012,0.007,0.027,0.000,0.005,0.002,0.025,0.063,0.154,0.021,0.069,0.008,0.000,0.005,0.000,0.603,0.603
TCGA-93-7348-01A,0.055,0.011,0.028,0.002,0.002,0.001,0.035,0.061,0.158,0.019,0.063,0.008,0.000,0.007,0.000,0.549,0.549
TCGA-55-1594-01A,0.051,0.004,0.018,0.004,0.017,0.000,0.010,0.053,0.043,0.007,0.077,0.003,0.000,0.001,0.000,0.714,0.714
TCGA-73-4658-01A,0.010,0.000,0.021,0.004,0.012,0.000,0.052,0.092,0.171,0.042,0.191,0.006,0.000,0.009,0.000,0.389,0.389
TCGA-80-5607-01A,0.011,0.001,0.016,0.017,0.015,0.000,0.059,0.050,0.048,0.013,0.067,0.006,0.000,0.003,0.001,0.692,0.692
TCGA-55-8505-01A,0.017,0.002,0.008,0.000,0.000,0.001,0.002,0.040,0.153,0.011,0.063,0.007,0.000,0.004,0.000,0.693,0.693
TCGA-MP-A4T4-01A,0.065,0.001,0.029,0.044,0.032,0.000,0.036,0.047,0.107,0.016,0.163,0.004,0.001,0.005,0.000,0.450,0.450
TCGA-49-4506-01A,0.044,0.000,0.005,0.015,0.010,0.000,0.012,0.009,0.016,0.003,0.038,0.000,0.000,0.001,0.002,0.843,0.843
TCGA-97-8172-01A,0.025,0.052,0.023,0.001,0.033,0.003,0.046,0.085,0.112,0.054,0.108,0.015,0.001,0.012,0.000,0.429,0.429
TCGA-O1-A52J-01A,0.000,0.000,0.018,0.000,0.009,0.000,0.086,0.021,0.056,0.008,0.179,0.006,0.001,0.011,0.000,0.604,0.604
TCGA-78-7537-01A,0.067,0.000,0.013,0.001,0.004,0.000,0.018,0.046,0.109,0.009,0.064,0.003,0.000,0.000,0.000,0.665,0.665
TCGA-73-4662-01A,0.033,0.016,0.032,0.000,0.018,0.011,0.042,0.050,0.060,0.016,0.100,0.004,0.000,0.007,0.001,0.610,0.610
TCGA-62-8398-01A,0.012,0.003,0.027,0.001,0.001,0.001,0.022,0.043,0.082,0.012,0.067,0.006,0.000,0.004,0.000,0.719,0.719
TCGA-49-AAQV-01A,0.013,0.026,0.029,0.011,0.003,0.002,0.026,0.023,0.028,0.012,0.073,0.007,0.000,0.018,0.000,0.728,0.728
TCGA-55-8621-01A,0.046,0.003,0.026,0.001,0.015,0.000,0.037,0.121,0.091,0.031,0.236,0.012,0.012,0.014,0.002,0.352,0.352
TCGA-53-7626-01A,0.028,0.022,0.033,0.006,0.022,0.001,0.060,0.121,0.108,0.035,0.148,0.010,0.001,0.017,0.001,0.387,0.387
TCGA-44-7669-01A,0.015,0.023,0.023,0.012,0.007,0.001,0.027,0.069,0.033,0.016,0.103,0.006,0.000,0.011,0.000,0.654,0.654
TCGA-93-8067-01A,0.006,0.001,0.008,0.003,0.006,0.000,0.008,0.049,0.030,0.021,0.055,0.003,0.000,0.008,0.000,0.801,0.801
TCGA-97-A4M2-01A,0.039,0.006,0.016,0.001,0.023,0.000,0.053,0.091,0.052,0.028,0.256,0.012,0.006,0.018,0.000,0.396,0.396
TCGA-05-4425-01A,0.003,0.000,0.025,0.006,0.003,0.001,0.051,0.044,0.153,0.001,0.145,0.008,0.001,0.007,0.000,0.552,0.552
TCGA-69-7763-01A,0.024,0.001,0.014,0.000,0.003,0.001,0.013,0.106,0.157,0.044,0.071,0.003,0.000,0.000,0.001,0.561,0.561
TCGA-86-8056-01A,0.014,0.007,0.016,0.000,0.008,0.002,0.039,0.066,0.049,0.021,0.108,0.013,0.000,0.009,0.000,0.648,0.648
TCGA-50-5931-01A,0.006,0.001,0.015,0.001,0.000,0.000,0.008,0.030,0.105,0.015,0.004,0.001,0.000,0.003,0.000,0.811,0.811
TCGA-55-8512-01A,0.009,0.003,0.003,0.000,0.005,0.000,0.013,0.077,0.046,0.043,0.060,0.015,0.005,0.011,0.001,0.708,0.708
TCGA-75-7025-01A,0.020,0.031,0.025,0.000,0.016,0.001,0.099,0.067,0.137,0.031,0.073,0.012,0.000,0.001,0.000,0.487,0.487
TCGA-50-5930-01A,0.089,0.007,0.017,0.000,0.012,0.000,0.005,0.050,0.174,0.021,0.099,0.000,0.000,0.006,0.001,0.518,0.518
TCGA-75-6214-01A,0.000,0.000,0.008,0.004,0.000,0.000,0.006,0.027,0.023,0.004,0.019,0.001,0.000,0.024,0.006,0.877,0.877
TCGA-L9-A743-01A,0.043,0.017,0.043,0.003,0.021,0.001,0.061,0.083,0.105,0.025,0.135,0.010,0.001,0.012,0.000,0.442,0.442
TCGA-50-5939-01A,0.046,0.015,0.023,0.001,0.003,0.000,0.005,0.087,0.118,0.019,0.123,0.004,0.000,0.017,0.000,0.537,0.537
TCGA-78-7161-01A,0.021,0.000,0.012,0.000,0.005,0.000,0.009,0.077,0.109,0.046,0.023,0.002,0.001,0.010,0.000,0.685,0.685
TCGA-44-3398-01A,0.020,0.008,0.019,0.004,0.001,0.001,0.073,0.077,0.169,0.010,0.138,0.012,0.005,0.001,0.004,0.459,0.459
TCGA-97-8547-01A,0.008,0.001,0.018,0.000,0.002,0.001,0.040,0.032,0.202,0.001,0.124,0.004,0.000,0.003,0.000,0.564,0.564
TCGA-91-6840-01A,0.023,0.012,0.013,0.015,0.034,0.001,0.021,0.105,0.042,0.075,0.056,0.006,0.000,0.003,0.000,0.594,0.594
TCGA-55-6986-01A,0.012,0.008,0.013,0.000,0.007,0.006,0.038,0.047,0.048,0.011,0.078,0.003,0.000,0.003,0.000,0.725,0.725
TCGA-05-4395-01A,0.001,0.000,0.010,0.016,0.000,0.000,0.000,0.032,0.010,0.005,0.046,0.001,0.003,0.015,0.000,0.861,0.861
TCGA-44-7672-01A,0.062,0.023,0.054,0.011,0.008,0.001,0.042,0.052,0.164,0.007,0.153,0.004,0.000,0.002,0.000,0.418,0.418
TCGA-44-2662-01B,0.008,0.013,0.005,0.014,0.000,0.003,0.008,0.060,0.165,0.011,0.099,0.014,0.000,0.034,0.026,0.539,0.539
TCGA-97-8175-01A,0.001,0.000,0.017,0.000,0.001,0.001,0.049,0.039,0.023,0.004,0.076,0.006,0.000,0.000,0.000,0.782,0.782
TCGA-55-8087-01A,0.003,0.000,0.010,0.000,0.003,0.003,0.051,0.037,0.062,0.008,0.069,0.011,0.000,0.004,0.000,0.739,0.739
TCGA-78-7160-01A,0.005,0.008,0.024,0.001,0.023,0.000,0.028,0.074,0.085,0.035,0.138,0.003,0.001,0.021,0.000,0.553,0.553
TCGA-L4-A4E5-01A,0.025,0.000,0.009,0.014,0.003,0.001,0.023,0.037,0.029,0.010,0.041,0.003,0.000,0.006,0.000,0.798,0.798
TCGA-97-A4LX-01A,0.048,0.033,0.051,0.014,0.035,0.001,0.057,0.068,0.115,0.018,0.206,0.006,0.001,0.018,0.000,0.330,0.330
TCGA-86-8359-01A,0.020,0.000,0.016,0.022,0.015,0.000,0.011,0.028,0.054,0.047,0.032,0.003,0.001,0.036,0.004,0.713,0.713
TCGA-44-6145-01A,0.040,0.022,0.029,0.022,0.013,0.000,0.010,0.063,0.127,0.016,0.121,0.004,0.000,0.032,0.001,0.501,0.501
TCGA-78-7155-01A,0.006,0.000,0.000,0.002,0.026,0.000,0.006,0.022,0.011,0.001,0.028,0.001,0.000,0.000,0.000,0.897,0.897
TCGA-55-7816-01A,0.009,0.009,0.009,0.001,0.017,0.000,0.031,0.149,0.237,0.029,0.152,0.008,0.000,0.012,0.049,0.287,0.287
