,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-OR-A5L8-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.922,0.000,0.054,0.001,0.017,0.004,0.001,0.000,0.000,0.000
TCGA-OR-A5J8-01A,0.000,0.000,0.017,0.000,0.020,0.000,0.010,0.000,0.092,0.477,0.005,0.378,0.000,0.000,0.000,0.000
TCGA-OR-A5LS-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.924,0.000,0.051,0.000,0.010,0.011,0.002,0.000,0.000,0.000
TCGA-OR-A5JW-01A,0.001,0.000,0.000,0.003,0.000,0.000,0.828,0.000,0.100,0.000,0.015,0.050,0.002,0.000,0.001,0.000
TCGA-OR-A5JC-01A,0.001,0.000,0.000,0.005,0.000,0.000,0.820,0.001,0.072,0.001,0.064,0.033,0.003,0.000,0.001,0.000
TCGA-OR-A5LP-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.615,0.000,0.099,0.002,0.122,0.150,0.009,0.000,0.001,0.000
TCGA-OR-A5J1-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.067,0.001,0.280,0.000,0.308,0.337,0.003,0.000,0.001,0.000
TCGA-OR-A5K0-01A,0.001,0.000,0.000,0.006,0.000,0.000,0.903,0.000,0.024,0.000,0.000,0.032,0.032,0.000,0.001,0.000
TCGA-OR-A5K8-01A,0.001,0.000,0.000,0.003,0.000,0.000,0.876,0.000,0.049,0.001,0.046,0.021,0.000,0.000,0.001,0.000
TCGA-OR-A5L5-01A,0.000,0.000,0.000,0.001,0.001,0.000,0.433,0.000,0.077,0.105,0.087,0.265,0.027,0.000,0.002,0.000
TCGA-OR-A5KT-01A,0.004,0.001,0.005,0.006,0.001,0.000,0.010,0.000,0.251,0.269,0.127,0.303,0.012,0.001,0.010,0.000
TCGA-OR-A5JF-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.880,0.000,0.061,0.003,0.041,0.011,0.001,0.000,0.001,0.000
TCGA-OR-A5L4-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.593,0.001,0.218,0.077,0.005,0.000,0.002,0.000
TCGA-OR-A5JS-01A,0.004,0.000,0.001,0.008,0.000,0.000,0.850,0.000,0.098,0.003,0.015,0.010,0.010,0.000,0.001,0.000
TCGA-OR-A5K5-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.930,0.000,0.022,0.007,0.011,0.025,0.002,0.000,0.001,0.000
TCGA-OR-A5JG-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.905,0.000,0.056,0.003,0.001,0.029,0.003,0.000,0.000,0.000
TCGA-PK-A5H8-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.816,0.000,0.074,0.000,0.035,0.064,0.009,0.000,0.001,0.000
