"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.OR.A5K9.01A",0.0126547503160324,0.000282451543892623,3.11632158669983e-07,0.146415411019302,0.00964090444057399,2.52716392699124e-07,0.831005918331647
"TCGA.OR.A5LA.01A",0.0064432106572844,0.00158908330030003,1.65856256971046e-08,0.0546818005471292,0.0224875717943892,0.00618230183406112,0.90861601528121
"TCGA.OR.A5JP.01A",0.0137130512634001,0.000213092688920606,4.90649079704789e-08,0.167079027902526,0.00549776296984011,5.40514350441413e-07,0.813496475596054
"TCGA.OR.A5LE.01A",0.000552461530267033,0.00103458520534273,2.35320340235747e-08,0.0289415764793106,0.011724931788478,0.00317793531581943,0.954568486148748
"TCGA.OR.A5JB.01A",3.50564316208906e-08,0.0150382879150865,1.5910697148338e-06,2.90859954368835e-05,0.24559989947477,0.0722979138951293,0.667033186593431
"TCGA.OR.A5J3.01A",0.0163978496915412,8.71510284606522e-08,8.92550593057976e-09,0.0321501732983417,0.00639781857331934,0.00374461921509498,0.941309443145168
"TCGA.OR.A5JQ.01A",0.0233755921716081,0.00340810576430215,1.43349568474564e-09,0.327024761979371,0.0237515653333916,0.00968005367849443,0.612759919639337
"TCGA.OR.A5J7.01A",0.0256404284322716,2.04059863888954e-06,1.97045637381223e-05,0.0973568839589584,0.0021365797503994,5.01482221739588e-07,0.874843861213772
"TCGA.OR.A5KZ.01A",8.09870787646422e-05,0.000221616017191045,5.47518859699051e-08,0.331886603961063,0.00732540174854333,0.000566478442979258,0.659918857999573
"TCGA.OR.A5KW.01A",1.31029453891542e-06,0.00183628974687552,1.87413210953566e-09,0.0522254379678345,0.0245738656045737,0.00733445113118194,0.914028643380863
"TCGA.PA.A5YG.01A",1.59253985883555e-07,0.00530111379760663,2.0659956005718e-05,0.0426150744972745,0.0333112426375266,0.0107677846118428,0.907983965245758
"TCGA.OR.A5J9.01A",0.00393858042293367,0.000155319336873718,7.9645294775678e-08,0.158421163508685,0.00804488148683434,0.00448542153747411,0.824954554061904
"TCGA.OR.A5K4.01A",0.0553234552825495,4.56788566522042e-05,2.44744854538218e-05,0.139986417167126,0.0160927737987684,8.06783012601057e-08,0.788527119731149
"TCGA.OR.A5K2.01A",0.00637247969949401,5.22783573753612e-05,1.57404854072103e-06,0.0775348502186094,0.0113366332575491,0.00166347022711458,0.903038714191317
"TCGA.OR.A5JO.01A",5.64407861424411e-07,9.52831659948416e-05,3.10285845731265e-06,5.36158909182478e-08,0.165963067672841,0.074269432494324,0.759668495784631
"TCGA.OR.A5KU.01A",3.41043652922929e-08,0.000763342446241712,5.34719118816093e-08,0.0779472613065876,0.0308848365788506,1.75289616480219e-05,0.890386943130395
"TCGA.OR.A5LB.01A",0.0079579396387981,0.000324683284157476,1.18481035817102e-09,0.0230004442896549,0.0083999164320282,0.0028785709874565,0.957438444183095
"TCGA.OR.A5L8.01A",0.00160244135900009,1.78369917848479e-07,7.70376524690511e-08,0.423580001058993,0.00661801920396088,0.00151644027318763,0.566682842697289
"TCGA.OR.A5J8.01A",0.000109583640685391,1.53258416378108e-05,7.9202270814486e-08,0.351319649788493,0.648345498648958,0.000117913409565321,9.19494683900272e-05
"TCGA.OR.A5LS.01A",0.0130825642335408,7.14152365076526e-06,1.36864537454232e-08,0.0359206703513093,0.00917005832824718,0.00154981190473661,0.940269739972062
"TCGA.OR.A5JW.01A",0.121731228590351,2.48224013739406e-10,6.40369350698147e-06,0.0533702943912679,0.00701936943631092,1.17982397422037e-07,0.817872585657942
"TCGA.OR.A5JC.01A",0.0145850457812124,1.39845286154723e-06,5.44673856736458e-08,0.0849992023706408,0.0152421221116241,0.00438393396334047,0.880788242852935
"TCGA.OR.A5LP.01A",1.86572472008564e-08,0.000260870468150563,3.80101558772022e-08,0.0648863700058743,0.0380746131156806,0.000758803567905007,0.896019286174986
"TCGA.OR.A5J1.01A",1.61444826356666e-06,0.000134800497582119,6.53188628699492e-08,0.053456531280905,0.0175130641745483,0.000654719708049955,0.928239204571788
"TCGA.OR.A5K0.01A",7.63563320216236e-08,8.48071118785988e-07,6.64593922891907e-09,0.363645287011536,0.383291931601378,0.000161510274402742,0.252900340039293
"TCGA.OR.A5K8.01A",0.0192664336132553,7.49718343671069e-05,1.26845291340661e-08,0.0491511868521166,0.00438653855003638,2.66759393303868e-06,0.927118188871762
"TCGA.OR.A5L5.01A",1.65453360884951e-06,0.000564548879619086,5.64380682233777e-08,0.267853385727489,0.0169765942298212,0.00614096576130164,0.708462794430092
"TCGA.OR.A5KT.01A",2.00281988313163e-05,1.03329673727338e-07,1.38455166503129e-07,0.250704821983446,0.0654690590286059,0.000811722083036471,0.68299412692124
"TCGA.OR.A5JF.01A",0.0680398808158549,1.39513733704569e-07,3.53471217387308e-09,0.0878117484048377,0.00487140628214169,1.27442408340811e-07,0.839276694006312
"TCGA.OR.A5L4.01A",0.0193236728459899,3.37677503537029e-05,4.62942222898225e-08,0.0759565952612169,0.00602982075709777,5.19378235454464e-07,0.898655577712884
"TCGA.OR.A5JS.01A",0.00232085599282502,0.00055811953595958,2.51123636245422e-07,0.114863657082915,0.0205286441788249,0.00784390325135805,0.853884568834481
"TCGA.OR.A5K5.01A",5.34608338165718e-07,2.17619411909784e-06,1.36635953938341e-08,0.234023604572901,0.0784830001028164,1.15825046490162e-08,0.687490659275725
"TCGA.OR.A5JG.01A",0.0496229208825763,1.44619443210162e-08,1.01320704276969e-09,0.0661961598588363,0.0130698804724657,3.07794435461861e-05,0.871080243867424
"TCGA.PK.A5H8.01A",4.01444641346091e-05,0.00112263091231288,3.31234607288045e-08,0.0916490781224202,0.0241816861800721,0.00122816295740213,0.881778264240197
