gene_name,gene_ids,n_cells,total_counts,n_counts
ADORA2B,,15487,,91024.44
ADORA3,,19931,11.0,143488.39
ADPGK,ENSG00000159322,96538,1384.0,626713.0
ADPRH,ENSG00000144843,14755,144.0,88635.09
ADPRHL1,,16011,,43395.21
ADPRHL2,ENSG00000116863,67492,464.0,425174.53
ADPRM,ENSG00000170222,26673,191.0,166174.67
ADRA1A,,16993,,36943.24
ADRA1D,,435,,2576.983
ADRA2A,,9961,,68355.26
ADRA2B,,2127,,12685.919
ADRA2C,,2312,,14471.139
ADRB1,,12623,45.0,80944.64
ADRB2,ENSG00000169252,36539,148.0,230155.06
ADRB3,ENSG00000188778,390,,2338.601
ADRBK1,ENSG00000173020,49404,786.0,349528.25
ADRBK2,ENSG00000100077,25552,163.0,134809.72
ADRM1,ENSG00000130706,160647,2381.0,1174409.6
ADSL,ENSG00000239900,88148,960.0,561412.44
ADSS,ENSG00000035687,100597,1210.0,661642.25
ADSSL1,ENSG00000185100,21720,44.0,97635.78
ADTRP,ENSG00000111863,16708,264.0,81254.266
AEBP1,ENSG00000106624,36044,22.0,273310.34
AEBP2,ENSG00000139154,54023,337.0,309610.66
AEN,ENSG00000181026,38418,311.0,229123.14
AES,ENSG00000104964,168131,3872.0,1244308.4
AF131216.1,,411,,2004.1871
AF165138.7,,543,17.0,2886.9119
AFAP1,ENSG00000196526,34085,124.0,207656.48
AFAP1L1,,6794,,42262.668
AFAP1L2,ENSG00000169129,17188,374.0,104029.6
AFF1,ENSG00000172493,59026,164.0,354205.34
AFF2,,1532,,8780.804
AFF3,ENSG00000144218,34770,44.0,168290.6
AFF4,ENSG00000072364,121310,934.0,816767.25
AFG3L2,ENSG00000141385,81676,550.0,520883.22
AFM,,1030,,2177.2659
AFMID,ENSG00000183077,53604,75.0,305616.72
AFP,,2290,,9369.329
AFTPH,ENSG00000119844,74060,462.0,469786.94
AGA,ENSG00000038002,46195,534.0,288680.6
AGAP1,,30404,,181900.97
AGAP10,,1938,,11673.971
AGAP2,ENSG00000135439,16612,347.0,87332.42
AGAP3,ENSG00000133612,44518,152.0,273050.38
AGAP4,ENSG00000188234,10017,44.0,53875.223
AGAP5,ENSG00000172650,9762,28.0,50672.688
AGAP6,ENSG00000204149,14846,66.0,78892.45
AGBL1,,1647,,1238.8947
AGBL2,,5718,14.0,17102.57
AGBL3,,10386,11.0,44289.14
AGBL4,,8345,,13494.444
AGBL5,ENSG00000084693,39472,52.0,213843.48
AGER,ENSG00000204305,7859,50.0,50760.67
AGFG1,ENSG00000173744,69425,457.0,436068.84
AGFG2,ENSG00000106351,25257,416.0,144757.6
AGGF1,ENSG00000164252,72926,447.0,452609.97
AGK,ENSG00000006530,31529,236.0,179647.25
AGL,ENSG00000162688,41254,217.0,243847.97
AGMAT,ENSG00000116771,27163,183.0,93828.35
AGMO,,10818,,37607.906
AGO1,ENSG00000092847,44177,190.0,256116.17
AGO2,ENSG00000123908,70890,737.0,444470.78
AGO3,ENSG00000126070,74780,416.0,445096.62
AGO4,ENSG00000134698,32550,138.0,173871.73
AGPAT1,ENSG00000204310,67197,374.0,427804.38
AGPAT2,ENSG00000169692,101424,986.0,719038.94
AGPAT3,ENSG00000160216,53302,308.0,320460.4
AGPAT4,ENSG00000026652,23375,154.0,135666.25
AGPAT5,ENSG00000155189,55340,240.0,347731.16
AGPAT6,,16133,,97323.9
AGPAT9,,5571,,38024.547
AGPS,ENSG00000018510,53614,347.0,316036.78
AGR2,,60039,,517284.53
AGR3,,24779,,201293.55
AGRN,ENSG00000188157,56387,119.0,346975.44
AGRP,,2706,,19029.373
AGT,,27594,,205718.86
AGTPBP1,ENSG00000135049,30121,193.0,182936.66
AGTR1,,5755,,36543.355
AGTR2,,139,,933.9356
AGTRAP,ENSG00000177674,107335,962.0,736303.7
AGXT,,9772,,21604.33
AGXT2,,357,,670.23346
AHCTF1,ENSG00000153207,54437,145.0,327054.22
AHCY,ENSG00000101444,95816,460.0,649406.94
AHCYL1,ENSG00000168710,113215,495.0,767387.25
AHCYL2,ENSG00000158467,24172,31.0,146620.14
AHDC1,ENSG00000126705,30776,98.0,184613.53
AHI1,ENSG00000135541,87216,1028.0,549651.4
AHNAK,ENSG00000124942,154183,1882.0,1142966.1
AHNAK2,,29898,,196591.42
AHR,ENSG00000106546,85825,581.0,535366.5
AHRR,,5025,55.0,23772.154
AHSA1,ENSG00000100591,130492,1175.0,910612.5
AHSA2,ENSG00000173209,48562,357.0,285232.12
AHSG,,5161,,22913.143
AHSP,ENSG00000169877,1071,66.0,6139.7515
AICDA,,15800,,32009.992
AIDA,ENSG00000186063,96341,764.0,639980.1
AIF1,ENSG00000204472,80029,3360.0,719216.56
AIF1L,,19044,,129071.15
AIFM1,ENSG00000156709,58635,365.0,323417.9
AIFM2,ENSG00000042286,35042,154.0,188015.52
AIFM3,,3083,,17986.516
AIG1,ENSG00000146416,91283,130.0,588342.06
AIM1,ENSG00000112297,45634,1388.0,283090.7
AIM1L,,4989,71.0,28437.074
AIM2,ENSG00000163568,20685,248.0,120479.75
AIMP1,ENSG00000164022,143930,1832.0,1000850.7
AIMP2,ENSG00000106305,63453,434.0,399435.7
AIP,ENSG00000110711,125500,2230.0,865649.75
AIPL1,,16701,,30413.785
AIRE,,4283,,5220.384
AJAP1,,959,,5890.657
AJUBA,,19386,,110833.31
AK1,ENSG00000106992,89554,256.0,575042.06
AK2,ENSG00000004455,129233,1245.0,878762.94
AK3,ENSG00000147853,99919,667.0,609827.0
AK4,ENSG00000162433,53375,151.0,331772.62
AK5,ENSG00000154027,7312,,47413.03
AK7,,7755,,21455.746
AK8,,3135,,18142.861
AK9,ENSG00000155085,27721,126.0,143507.73
AKAP1,ENSG00000121057,56799,136.0,349571.53
AKAP10,ENSG00000108599,49460,391.0,293704.84
AKAP11,ENSG00000023516,53461,286.0,327861.28
AKAP12,ENSG00000131016,58547,61.0,408515.1
AKAP13,ENSG00000170776,162818,3431.0,1205785.0
AKAP14,,162,,1103.65
AKAP17A,ENSG00000197976,65211,712.0,422050.78
AKAP2,ENSG00000241978,11105,17.0,40856.53
AKAP3,,870,,5091.346
AKAP5,ENSG00000179841,29936,765.0,103152.52
AKAP6,ENSG00000151320,19102,,72182.945
AKAP7,ENSG00000118507,46038,464.0,279346.28
AKAP8,ENSG00000105127,53914,482.0,319816.53
AKAP8L,ENSG00000011243,62969,728.0,416433.34
AKAP9,ENSG00000127914,175936,1678.0,1276082.6
AKIP1,ENSG00000166452,76278,458.0,454577.66
AKIRIN1,ENSG00000174574,115220,1378.0,768930.8
AKIRIN2,ENSG00000135334,95474,1605.0,642554.2
AKNA,ENSG00000106948,71455,2138.0,453604.47
AKNAD1,,3396,,16080.186
AKR1A1,ENSG00000117448,150445,1271.0,1079834.8
AKR1B1,ENSG00000085662,118010,1441.0,852084.6
AKR1B10,,20651,,107829.09
AKR1B15,,4968,,16526.576
AKR1C1,,21322,40.0,138429.75
AKR1C2,,17308,14.0,111927.91
AKR1C3,ENSG00000196139,38380,132.0,262445.16
AKR1C4,,4025,,17437.152
AKR1D1,,13512,,24460.045
AKR1E2,,944,,5105.8906
AKR7A2,ENSG00000053371,111138,1431.0,744975.06
AKR7A3,,10435,,64445.945
AKT1,ENSG00000142208,71177,432.0,449841.3
AKT1S1,ENSG00000204673,70645,271.0,460316.0
AKT2,ENSG00000105221,79754,634.0,468499.8
AKT3,ENSG00000117020,44178,199.0,256120.05
AKTIP,ENSG00000166971,52823,651.0,321264.2
AL021546.6,,9783,,59132.33
AL023806.1,,2619,,8375.987
AL049794.1,,4974,,8618.573
AL133335.1,,3202,,10333.746
AL135745.1,,3182,,10346.323
AL162426.1,,239,,1632.0745
AL354828.1,,10500,,26465.752
AL354828.2,,9254,,26548.71
AL356289.1,,1500,,1575.2965
AL356585.2,ENSG00000279081,1935,24.0,14362.462
AL358852.1,,2252,,11397.226
AL365181.2,,675,15.0,4543.4243
AL365202.1,,4932,,15378.239
AL513523.2,,1720,,3692.5896
AL589743.1,,5249,,33108.496
AL591806.1,,2425,,9343.129
AL645728.1,,5611,,26023.988
ALAD,ENSG00000148218,33715,210.0,199756.25
ALAS1,ENSG00000023330,55929,333.0,340373.72
ALAS2,,141,,1120.6614
ALB,,11187,,58694.07
ALCAM,ENSG00000170017,86780,169.0,587928.1
ALDH16A1,ENSG00000161618,45264,313.0,262331.7
ALDH18A1,ENSG00000059573,42599,280.0,259073.75
ALDH1A1,ENSG00000165092,39761,38.0,274987.62
ALDH1A2,,4565,,26716.504
ALDH1A3,,25703,,200567.52
ALDH1B1,ENSG00000137124,36688,75.0,164590.64
ALDH1L1,,16228,,70467.89
ALDH1L2,ENSG00000136010,17196,,46540.86
ALDH2,ENSG00000111275,96538,1263.0,658187.25
ALDH3A1,,9508,15.0,66821.17
ALDH3A2,ENSG00000072210,74407,345.0,464471.7
ALDH3B1,ENSG00000006534,44357,79.0,220466.22
ALDH3B2,,7534,,48476.99
ALDH4A1,ENSG00000159423,14645,19.0,85485.414
ALDH5A1,ENSG00000112294,31281,74.0,124531.86
ALDH6A1,ENSG00000119711,56387,103.0,338171.34
ALDH7A1,,62360,,370219.9
ALDH8A1,,6616,,13557.038
ALDH9A1,ENSG00000143149,92971,832.0,608886.7
ALDOA,ENSG00000149925,251843,13983.0,2287391.8
ALDOB,,6616,,31954.875
ALDOC,ENSG00000109107,37181,746.0,239246.67
ALG1,ENSG00000033011,41924,273.0,215378.61
ALG10,ENSG00000139133,8377,69.0,49025.543
ALG10B,ENSG00000175548,20509,61.0,71996.43
ALG11,ENSG00000253710,20868,58.0,92580.75
ALG12,ENSG00000182858,33844,313.0,205177.2
ALG13,ENSG00000101901,90481,634.0,584584.25
ALG14,ENSG00000172339,47692,134.0,251665.56
ALG1L,,8029,,41206.98
ALG1L2,,1294,,4934.083
ALG2,ENSG00000119523,58027,331.0,356996.72
ALG3,ENSG00000214160,89019,598.0,585355.3
ALG5,ENSG00000120697,108670,1079.0,723895.75
ALG6,ENSG00000088035,32055,269.0,190256.45
ALG8,ENSG00000159063,58257,377.0,360312.8
ALG9,ENSG00000086848,28362,39.0,113637.484
ALK,,1732,,8754.19
ALKBH1,ENSG00000100601,17526,77.0,100948.47
ALKBH2,ENSG00000189046,52992,164.0,339349.4
