gene_name,gene_ids,n_cells,total_counts,n_counts
ALKBH3,ENSG00000166199,45604,296.0,282734.5
ALKBH4,ENSG00000160993,46325,267.0,247457.44
ALKBH5,ENSG00000091542,96705,1203.0,644064.75
ALKBH6,ENSG00000239382,40366,398.0,224296.3
ALKBH7,ENSG00000125652,157167,1175.0,1152810.0
ALKBH8,ENSG00000137760,13487,83.0,78434.04
ALMS1,ENSG00000116127,25696,71.0,124767.74
ALOX12,,1582,,6270.4385
ALOX12B,,423,,1998.4373
ALOX15,,1171,,5207.16
ALOX15B,,20610,,154310.67
ALOX5,ENSG00000012779,42098,302.0,299263.88
ALOX5AP,ENSG00000132965,122733,18199.0,1080079.0
ALOXE3,,836,,4698.0737
ALPI,,131,,833.2436
ALPK1,ENSG00000073331,31207,53.0,155084.69
ALPK2,ENSG00000198796,4075,12.0,23095.652
ALPK3,,7957,,47367.48
ALPL,,6637,,50242.445
ALPP,,3846,,5239.552
ALPPL2,,584,,4606.5225
ALS2,ENSG00000003393,21785,48.0,122494.32
ALS2CL,,13807,,81352.93
ALS2CR11,,606,,2996.853
ALS2CR12,,2228,,7502.363
ALX1,,230,,1335.4259
ALX3,,1281,,7463.193
ALX4,,318,,1480.3066
ALYREF,ENSG00000183684,63801,482.0,391101.22
AMACR,,16555,17.0,102442.37
AMBP,,11335,,68785.85
AMBRA1,ENSG00000110497,20454,100.0,100827.55
AMD1,ENSG00000123505,151218,1412.0,1084517.8
AMDHD1,ENSG00000139344,3191,23.0,14093.73
AMDHD2,ENSG00000162066,42161,421.0,269906.03
AMER1,,6214,16.0,32078.59
AMER2,ENSG00000165566,9450,,37071.855
AMER3,,1830,,2735.5547
AMFR,ENSG00000159461,69088,293.0,411469.12
AMH,,7062,,42372.805
AMHR2,,1399,,9223.898
AMICA1,,14215,,116692.74
AMIGO1,,3303,12.0,19787.781
AMIGO2,ENSG00000139211,31041,236.0,196704.62
AMIGO3,,1826,,8403.375
AMMECR1,ENSG00000101935,30519,172.0,183236.27
AMMECR1L,ENSG00000144233,24083,64.0,138632.55
AMN,ENSG00000166126,14921,17.0,101650.56
AMN1,ENSG00000151743,29282,112.0,179829.47
AMOT,,8668,,53348.133
AMOTL1,,30736,,184406.78
AMOTL2,,21846,,140665.0
AMPD1,,536,,3643.1545
AMPD2,ENSG00000116337,37199,261.0,228580.2
AMPD3,ENSG00000133805,18996,122.0,118334.33
AMPH,ENSG00000078053,4847,,29944.992
AMT,ENSG00000145020,20661,36.0,82250.195
AMTN,,472,,3761.528
AMY1A,,1598,,3739.312
AMY1B,,1459,,3179.3232
AMY1C,,306,,911.96875
AMY2A,,3482,,22385.713
AMY2B,ENSG00000240038,17858,22.0,60313.566
AMZ1,,3622,107.0,19559.24
AMZ2,ENSG00000196704,92779,813.0,606543.25
ANAPC1,ENSG00000153107,41830,281.0,233836.6
ANAPC10,ENSG00000164162,58304,496.0,364087.66
ANAPC11,ENSG00000141552,214598,3522.0,1750993.9
ANAPC13,ENSG00000129055,114119,660.0,769655.75
ANAPC15,ENSG00000110200,99837,1027.0,668632.56
ANAPC16,ENSG00000166295,231546,5058.0,1782677.2
ANAPC2,ENSG00000176248,28152,354.0,173380.3
ANAPC4,ENSG00000053900,34670,237.0,208058.58
ANAPC5,ENSG00000089053,140127,1505.0,970783.8
ANAPC7,ENSG00000196510,55944,329.0,340728.62
ANG,ENSG00000214274,38398,28.0,254099.86
ANGEL1,ENSG00000013523,22300,52.0,102901.18
ANGEL2,ENSG00000174606,56959,298.0,305937.12
ANGPT1,,14895,,59921.746
ANGPT2,ENSG00000091879,29575,124.0,146112.94
ANGPT4,,4227,,4033.9194
ANGPTL1,,6366,,41970.355
ANGPTL2,,15378,,103944.664
ANGPTL3,,3141,,11419.998
ANGPTL4,,31418,21.0,190898.14
ANGPTL5,,133,,803.01135
ANGPTL6,ENSG00000130812,5491,29.0,29371.723
ANGPTL7,,429,,2725.486
ANK1,ENSG00000029534,6371,25.0,34340.348
ANK2,,16399,,105139.8
ANK3,ENSG00000151150,41897,100.0,224600.36
ANKAR,ENSG00000151687,15460,83.0,93181.81
ANKDD1A,ENSG00000166839,18348,178.0,87264.73
ANKDD1B,ENSG00000189045,1693,25.0,9837.565
ANKEF1,,7463,23.0,38528.156
ANKFN1,,2045,,12527.853
ANKFY1,ENSG00000185722,50406,285.0,279936.2
ANKH,ENSG00000154122,74132,474.0,458833.97
ANKHD1,ENSG00000131503,55875,362.0,330448.44
ANKHD1-EIF4EBP3,,11762,12.0,40279.05
ANKIB1,ENSG00000001629,70446,344.0,439278.28
ANKK1,,1973,,3342.9185
ANKLE1,ENSG00000160117,15840,14.0,34593.37
ANKLE2,ENSG00000176915,88754,708.0,554412.8
ANKMY1,ENSG00000144504,22451,135.0,96004.3
ANKMY2,ENSG00000106524,28033,181.0,168001.98
ANKRA2,ENSG00000164331,47510,374.0,300326.97
ANKRD1,,1613,,6674.0425
ANKRD10,ENSG00000088448,112448,976.0,772697.6
ANKRD11,ENSG00000167522,147595,1657.0,1031292.75
ANKRD12,ENSG00000101745,180975,3423.0,1318316.5
ANKRD13A,ENSG00000076513,58107,580.0,343985.4
ANKRD13B,,9926,13.0,53850.527
ANKRD13C,ENSG00000118454,40476,239.0,230144.72
ANKRD13D,ENSG00000172932,66744,858.0,411222.34
ANKRD16,ENSG00000134461,28191,50.0,117222.23
ANKRD17,ENSG00000132466,83277,467.0,520594.0
ANKRD18A,,4860,,24720.545
ANKRD18B,,2685,,11862.51
ANKRD2,,331,,2064.524
ANKRD20A1,,3929,,18665.098
ANKRD20A2,,2144,,9142.026
ANKRD20A3,,2776,,12132.878
ANKRD20A4,,4859,11.0,27173.475
ANKRD22,ENSG00000152766,22026,95.0,137270.94
ANKRD23,,6041,10.0,28185.191
ANKRD24,,994,,5722.57
ANKRD26,ENSG00000107890,39414,179.0,233520.75
ANKRD27,ENSG00000105186,25813,164.0,151316.11
ANKRD28,ENSG00000206560,78564,5711.0,527799.0
ANKRD29,,23432,,109350.734
ANKRD30A,,2083,,17840.402
ANKRD30B,,5623,,6347.109
ANKRD30BL,,4627,,4463.9077
ANKRD31,,922,,5173.299
ANKRD32,,7400,,49072.555
ANKRD33,,106,,657.9738
ANKRD33B,ENSG00000164236,3083,16.0,13259.788
ANKRD34A,,2835,26.0,14388.8
ANKRD34B,,1036,,6344.7427
ANKRD35,ENSG00000198483,17312,420.0,111038.52
ANKRD36,ENSG00000135976,64919,417.0,403484.84
ANKRD36B,ENSG00000196912,28759,194.0,147099.92
ANKRD36C,ENSG00000174501,48733,446.0,326822.3
ANKRD37,ENSG00000186352,63682,265.0,439740.4
ANKRD39,ENSG00000213337,67005,574.0,422858.66
ANKRD40,ENSG00000154945,70679,265.0,412744.62
ANKRD42,ENSG00000137494,30348,72.0,142888.1
ANKRD44,ENSG00000065413,71403,1742.0,493209.1
ANKRD45,,9060,,21380.797
ANKRD46,ENSG00000186106,34136,110.0,198988.44
ANKRD49,ENSG00000168876,57973,580.0,367414.56
ANKRD50,,24996,10.0,150699.75
ANKRD52,ENSG00000139645,31714,135.0,185305.75
ANKRD53,ENSG00000144031,1129,,6437.787
ANKRD54,ENSG00000100124,52160,286.0,303607.12
ANKRD55,ENSG00000164512,2811,24.0,15610.564
ANKRD6,,10440,12.0,60308.75
ANKRD61,,114,,513.0648
ANKRD62,,10073,,14607.096
ANKRD65,ENSG00000235098,19384,,113937.95
ANKRD66,,197,,1174.0522
ANKRD7,,772,,4564.82
ANKRD9,ENSG00000156381,45058,63.0,234310.77
ANKS1A,ENSG00000064999,28368,43.0,169020.62
ANKS1B,ENSG00000185046,18140,219.0,74260.664
ANKS3,ENSG00000168096,48046,275.0,269371.06
ANKS4B,,17109,,29526.746
ANKS6,ENSG00000165138,21019,10.0,118599.19
ANKUB1,,2037,,8033.826
ANKZF1,ENSG00000163516,56893,505.0,336220.12
ANLN,ENSG00000011426,24770,49.0,150608.78
ANO1,,11867,,77042.25
ANO10,ENSG00000160746,27458,68.0,165284.16
ANO2,,521,,3241.869
ANO3,,807,,4617.9688
ANO4,,812,,4452.4985
ANO5,,2813,,14747.2
ANO6,ENSG00000177119,59936,144.0,348232.84
ANO7,,11177,11.0,65629.23
ANO8,,9285,17.0,55209.395
ANO9,ENSG00000185101,15060,182.0,92673.055
ANP32A,ENSG00000140350,156877,2252.0,1110203.6
ANP32B,ENSG00000136938,210005,4791.0,1644874.1
ANP32D,,1075,,1547.6165
ANP32E,ENSG00000143401,120869,1775.0,856816.4
ANPEP,ENSG00000166825,37052,210.0,257074.83
ANTXR1,,33033,,218043.97
ANTXR2,ENSG00000163297,46944,290.0,298801.0
ANTXRL,,536,,2350.557
ANXA1,ENSG00000135046,193664,7878.0,1695034.6
ANXA10,,8769,,64549.33
ANXA11,ENSG00000122359,164576,3745.0,1206562.6
ANXA13,,10224,,34962.56
ANXA2,ENSG00000182718,215284,7000.0,1954427.9
ANXA2R,ENSG00000177721,38340,814.0,259062.14
ANXA3,ENSG00000138772,47543,,320509.94
ANXA4,ENSG00000196975,104095,515.0,730122.2
ANXA5,ENSG00000164111,209994,5118.0,1715731.9
ANXA6,ENSG00000197043,96701,4258.0,710925.6
ANXA7,ENSG00000138279,140676,2262.0,983140.6
ANXA8,,2101,,12894.199
ANXA8L1,,3018,,22613.195
ANXA9,,6830,24.0,37107.934
AOAH,ENSG00000136250,36861,575.0,237946.47
AOC1,ENSG00000002726,8032,,46365.953
AOC2,,1278,,7681.8633
AOC3,,9934,,69495.11
AOX1,,3291,,15033.583
AP000275.65,,3750,,12349.905
AP000295.9,,3407,,13340.392
AP000304.12,ENSG00000249209,10244,,49865.145
AP000349.2,,129,,336.64804
AP000350.10,,11313,,80630.9
AP000721.4,,8176,,45184.215
AP000866.1,,1235,,7141.9556
AP002884.2,,6444,,30771.902
AP003419.11,,3526,,14079.718
AP006285.2,,9292,,21786.076
AP1AR,ENSG00000138660,37849,67.0,226084.25
AP1B1,ENSG00000100280,73927,635.0,477264.56
AP1G1,ENSG00000166747,70627,237.0,411372.4
AP1G2,ENSG00000213983,49051,567.0,305990.06
AP1M1,ENSG00000072958,70409,774.0,426576.34
