,PC1,PC2
s_segment_1_1041,-34.18312550690689,-16.446815047585538
s_segment_1_1053,-39.38321840991317,0.726536840461144
s_segment_1_1067,-39.72002247452561,46.6645870606185
s_segment_1_1104,-21.748405313054185,-26.70773354769899
s_segment_1_1112,-39.064780278149435,33.072638709524476
s_segment_1_1153,-31.88021533712753,-15.563975456370521
s_segment_1_1160,-31.06192897743652,-16.94739316043679
s_segment_1_1179,-32.45646913849784,1.9506310693991347
s_segment_1_1188,-39.8832292535538,-11.28600777705978
s_segment_1_1237,-40.10065339550043,16.675832829837955
s_segment_1_124,-19.132986776237885,0.9501267901477053
s_segment_1_1267,-15.675411959509741,-16.35865069844029
s_segment_1_1297,-23.487513631127854,-17.05282762623043
s_segment_1_1303,-32.22615268419371,-22.946176612282837
s_segment_1_1315,-18.671090248883612,-19.551801812774936
s_segment_1_1352,-34.83865667050537,47.618299258154686
s_segment_1_1354,-36.602472994390205,-9.558398876313365
s_segment_1_1379,-16.54038817372603,-22.125142939754877
s_segment_1_1397,-32.290879774216684,15.841229365837053
s_segment_1_1462,-29.254299819815767,8.515827878315651
s_segment_1_150,-29.274670386515112,6.054077214510848
s_segment_1_1500,-38.10163519917907,-0.5981564607494657
s_segment_1_1508,-39.516935090765394,39.474723621946666
s_segment_1_1549,-14.608315827303588,-19.827830161336813
s_segment_1_155,-39.08175482463261,1.1333343677338552
s_segment_1_1589,-50.60160984731052,17.17645374224028
s_segment_1_1601,-39.52569220315768,8.046393122774624
s_segment_1_1613,-32.66245927163075,-4.466351360554685
s_segment_1_1626,-47.18484568976982,41.75994237988289
s_segment_1_166,-49.40233936485464,4.517907075829524
s_segment_1_1665,-46.14381996681364,6.436727714455564
s_segment_1_1667,-7.701199709415208,-43.030629814106035
s_segment_1_1668,-18.873722568960986,-35.094211020756504
s_segment_1_167,-30.861006221368562,44.76090119656633
s_segment_1_1673,-37.90355781111476,-7.250998090655938
s_segment_1_1690,-42.95506816212747,-6.110486321808676
s_segment_1_1706,-30.084189128635384,-34.60789359817433
s_segment_1_1772,-28.733632571840975,-23.638240714914236
s_segment_1_1798,-35.97910164688255,-30.12339896375284
s_segment_1_1832,-29.515558939795845,-5.709276074773551
s_segment_1_1839,-35.75509484538289,-22.083070753201305
s_segment_1_1855,-36.79126292883205,-2.9741170629978373
s_segment_1_1856,-44.03336065623494,-8.404076615830679
s_segment_1_1900,-20.731546596392292,7.713234842785444
s_segment_1_1920,-33.212039376606285,-17.72544319378438
s_segment_1_197,-42.47868460340658,-5.550152868629167
s_segment_1_2043,-19.46969596506669,-33.18062789732002
s_segment_1_2044,-38.47722423373707,-19.458922377353595
s_segment_1_2046,-38.98657720287751,3.280632032539992
s_segment_1_2051,-21.939017241535037,-26.249712301607893
s_segment_1_2060,-29.265166455881822,8.203041515950087
s_segment_1_214,-9.127335317013786,-46.47811006278428
s_segment_1_2174,-44.20510528171475,6.540642411113192
s_segment_1_2199,-38.97067227775085,-14.382674564993927
s_segment_1_2248,-34.38753788315437,-17.681273171585563
s_segment_1_2265,-31.21371400024052,9.706811384284263
s_segment_1_2290,-34.17221010641879,-26.031014440132346
s_segment_1_2301,-38.621569035117865,-19.427947286459148
s_segment_1_2343,-41.45200904727807,20.260721864861136
s_segment_1_2350,-31.184503685735578,-2.5497249408442326
s_segment_1_2371,-16.324438280683502,-27.652505114144507
s_segment_1_2395,-21.107131901448685,-29.51665809178923
s_segment_1_2416,-44.55194290086162,39.16228327403429
s_segment_1_2459,-34.416157999006906,1.0419189361169008
s_segment_1_2465,-34.51095902447865,-15.011029846593617
s_segment_1_2471,-39.955410769421235,20.40014728741726
s_segment_1_2474,-30.24921559576427,-26.518917308220644
s_segment_1_2490,-23.33702722431557,13.271779120145903
s_segment_1_2506,-36.517654704847644,-1.982182616058854
s_segment_1_2519,-45.47053635775644,46.36537411134412
s_segment_1_2597,-16.635631831251587,-12.895521433791805
s_segment_1_2603,-16.27034470623555,-39.11583866996286
s_segment_1_2794,-29.06622853056942,-23.445944717108972
s_segment_1_2797,-28.578950560494377,-35.47543463143004
s_segment_1_2800,-47.5708052878382,5.406777058975717
s_segment_1_2821,-23.6684945912307,-30.191507415538986
s_segment_1_2841,-34.93047962558133,-3.7734214379497923
s_segment_1_2908,-21.050605475814766,-29.38083798688493
s_segment_1_2909,-38.37675938686956,-6.0003908618539
s_segment_1_2943,-31.50965742174613,10.872456776547429
s_segment_1_2947,-39.630195143378785,29.325081614921945
s_segment_1_2989,-31.683871917006883,-9.798721283644234
s_segment_1_3014,-28.481779153274925,-35.40506535607376
s_segment_1_3027,-41.022935817826884,11.889391215102522
s_segment_1_3032,-44.37636954389266,1.9194816387401592
s_segment_1_3049,-40.7482294136654,10.828651183581295
s_segment_1_3051,-34.291782691568464,-23.024809116695806
s_segment_1_307,-43.67046528688677,-1.7940848482153546
s_segment_1_3109,-42.00754238708315,52.74777962943184
s_segment_1_3142,-30.029879636828127,-12.71460585080652
s_segment_1_3188,-39.05313749269452,2.7500547758704332
s_segment_1_324,-31.91019190404001,-31.089019461256342
s_segment_1_3268,-18.733157308742182,-33.97181876012958
s_segment_1_3272,-28.69415078364553,20.928671055731453
s_segment_1_3290,-20.88646669541637,-6.954799733148763
s_segment_1_3298,-16.97242639575604,-6.398001870915325
s_segment_1_3338,-41.395901258164166,-13.614674766852183
s_segment_1_3370,-19.69984834918781,-33.483760295677506
s_segment_1_3385,-37.27705023627489,28.203900774002932
s_segment_1_3388,-39.5005151942657,0.7808269974895289
s_segment_1_3429,-38.23456073054374,10.129828429055252
s_segment_1_3434,-46.80496753851956,13.126467853151285
s_segment_1_3455,-35.94063260287319,-9.05285798067077
s_segment_1_3460,-35.99008718272971,10.399227242080578
s_segment_1_3463,-6.541030398836361,-48.29334221035312
s_segment_1_348,-42.077923049408,12.66261405684895
s_segment_1_3518,-42.62178062262261,-0.5889909789670091
s_segment_1_3523,-44.930831565357146,17.03623260815562
s_segment_1_3580,-19.790999798495967,25.609078096646552
s_segment_1_3585,-23.004216681583554,-36.374374794553304
s_segment_1_3610,-35.53694260468669,-7.604411756126097
s_segment_1_3614,-38.18158541853568,50.302496648883746
s_segment_1_3630,-49.3022853420543,46.51528651430726
s_segment_1_3706,-29.24872303295176,-12.273358214948095
s_segment_1_3709,-44.92874098889934,7.4729192222970005
s_segment_1_3711,-38.160715566814424,-14.431625042426921
s_segment_1_3712,-39.92455028151846,10.786891091089018
s_segment_1_3733,-45.8128643717655,48.79909176821706
s_segment_1_3764,-43.25330447062374,22.269972525562245
s_segment_1_3782,-11.145296431033616,-33.312135217283156
s_segment_1_3784,-37.14362301413923,32.3795879854471
s_segment_1_3799,-37.650158230686074,-6.498654733733156
s_segment_1_380,-26.16281844392772,0.12248801831205536
s_segment_1_3802,-46.0559518821635,1.8491737296973432
s_segment_1_3815,-48.34562835613142,-4.20323895395241
s_segment_1_3830,-17.838006750927708,-38.99046390913304
s_segment_1_3871,-16.298697975324938,-31.271154958947587
s_segment_1_3893,-21.102408018671703,-27.95629864585644
s_segment_1_39,-9.013314124224312,-45.53710159906168
s_segment_1_3948,-47.223634795555185,2.300891118920732
s_segment_1_3975,-34.26856337829414,-16.403004091401904
s_segment_1_3977,-22.0525903696768,-17.888845498716915
s_segment_1_3991,-44.31512910879664,-4.9980064510340005
s_segment_1_3999,-27.392882210176943,0.14144423318766763
s_segment_1_4041,-45.25027859512669,32.180019232868375
s_segment_1_406,-22.85147363817592,-29.428586413800144
s_segment_1_4060,-39.99631946014721,3.2885043548556863
s_segment_1_4083,-45.30132258640362,17.97132148088579
s_segment_1_411,-23.0098658893219,-4.8603526340824725
s_segment_1_4130,-48.93072269181671,13.17486081082436
s_segment_1_4195,-50.20600239848395,20.1312756504768
s_segment_1_4277,-42.92781670587937,42.68155661840099
s_segment_1_4293,-12.955133790023325,-38.84404213651163
s_segment_1_4296,-14.179731023870392,-11.859103639753387
s_segment_1_4319,-16.20876885410767,-40.84902565695292
s_segment_1_4357,-25.326500345003286,-29.90851403007647
s_segment_1_4359,-29.789114230299468,-17.583374471182005
s_segment_1_4376,-26.484823179365822,-28.358885814704113
s_segment_1_4377,-25.517391747366034,-22.60776075334269
s_segment_1_4384,-36.81366914705006,-3.9847308635819574
s_segment_1_4442,-37.36838860707101,-16.71143998878803
s_segment_1_4512,-35.78162873795227,10.420805008676968
s_segment_1_4547,-35.079690539010244,-6.471797196044606
s_segment_1_4563,-24.295063586481334,-1.3480323506566574
s_segment_1_460,-45.54033604990802,-9.710948091359132
s_segment_1_4603,-33.870537102646495,-4.569083080655045
s_segment_1_4626,-22.077774409380208,-7.914437435179717
s_segment_1_4628,-18.199833778212447,-30.667011359058947
s_segment_1_4644,-34.937092172244455,-4.646246406522082
s_segment_1_4680,-46.45822367419409,-0.5265319766331311
s_segment_1_4685,-17.272341533480795,-41.478131942388956
s_segment_1_479,-50.95583630879007,25.8055134943312
s_segment_1_4796,-34.53584960423465,23.308515097778784
s_segment_1_4804,-46.38525605524537,0.9472810809825183
s_segment_1_4843,-23.523463225430724,-7.491494401987186
s_segment_1_4852,-34.449852315073784,-15.269536320667262
s_segment_1_4863,-43.11737832558041,-1.386089594968855
s_segment_1_4898,-45.43740321209915,17.610883479112875
s_segment_1_496,-30.551448083319748,-16.56966529113198
s_segment_1_4960,-45.9469439028331,0.7260939673675585
s_segment_1_4968,-27.195657058450664,0.808750908205018
s_segment_1_497,-30.687769260751395,-24.48681438518058
s_segment_1_4982,-39.402358449783115,15.675867284049271
s_segment_1_4991,-30.349193561821846,-24.699602504264163
s_segment_1_4994,-35.87004382363979,-15.002580321475154
s_segment_1_51,-31.73074207298644,9.291180072013612
s_segment_1_534,-22.441726941678937,-22.541501446777595
s_segment_1_551,-37.97676192250966,-18.006088153613106
s_segment_1_558,-44.82002433260693,28.648991930676527
s_segment_1_575,-46.87012466322557,-5.279098452068
s_segment_1_590,-37.69438532264328,-20.21120660112591
s_segment_1_609,-34.87120763155151,2.439702376834341
s_segment_1_632,-12.773166665875808,-3.4306368897633646
s_segment_1_634,-34.3642571988458,-5.735284597113931
s_segment_1_667,-15.786200090846492,-43.22648959925762
s_segment_1_671,-25.175868679739303,-33.05170104289639
s_segment_1_673,-42.446737709033016,-3.0754505771639686
s_segment_1_686,-3.9153152544985788,-25.108596116921312
s_segment_1_688,-26.56723237721619,-20.1539691852009
s_segment_1_689,-47.72336931695886,17.86188002646437
s_segment_1_69,-40.9074997103953,47.21502400195103
s_segment_1_7,-35.16782373014139,-27.7754158733654
s_segment_1_742,-43.31932821294788,4.626353188467673
s_segment_1_754,-40.88575733172113,-16.47341677162289
s_segment_1_765,-36.26272148415187,-7.952154133928904
s_segment_1_768,-37.6770099984717,14.64366534233553
s_segment_1_877,-50.0579917375289,-6.150924445321778
s_segment_1_911,-27.907542948018737,-32.65742069464222
s_segment_1_919,-29.009110897105355,-16.851197244398765
s_segment_1_937,-26.66143290577272,-18.642321117597756
s_segment_1_992,-26.61051451183084,-21.0202340445049
s_segment_2_1001,-44.202740122764,42.25362614059464
s_segment_2_1003,-37.237020784639725,5.753662566216245
s_segment_2_1098,-33.58922319663821,3.191426933211144
s_segment_2_112,-37.81309451046955,-3.656774455159925
s_segment_2_1147,-40.05876066629656,-13.053988790983338
s_segment_2_1180,-20.998104080088705,-26.253958610282762
s_segment_2_1196,-22.91890595756515,-1.7508019548403486
s_segment_2_1227,-37.78033181327272,-7.498580871655204
s_segment_2_1254,-33.31928227021081,-6.520622823553305
s_segment_2_1256,-31.389109262546462,-29.581482918601324
s_segment_2_1258,-27.92363822288647,-7.220737256623404
s_segment_2_1264,-30.10978496757065,-16.117559500251016
s_segment_2_127,-15.770400531041343,-34.36321206801637
s_segment_2_1281,-24.968388594627466,-17.779265251088074
s_segment_2_1291,-38.14630153453629,-6.131167588915382
s_segment_2_1296,-34.67493319828513,-7.7516014355563145
s_segment_2_1297,-35.18404499481812,-15.269991644681571
s_segment_2_1307,-37.30180593382399,-20.133872987272078
s_segment_2_1323,-28.30576362334516,-36.126451695636014
s_segment_2_1335,-37.56487266686098,5.906444566643098
s_segment_2_1373,-23.065008386069735,-16.969743486577816
s_segment_2_1384,-40.460975692704686,-11.649315204195037
s_segment_2_1385,-23.031226040110447,-6.526370852114157
s_segment_2_1393,-42.01143367743321,44.27383376864175
s_segment_2_1398,-40.88925270731257,11.007498591608579
s_segment_2_1400,-33.167497758453166,4.676076992996441
s_segment_2_1415,-35.24309190246879,-11.678041329521012
s_segment_2_1416,-37.024608879419866,-2.6492268615957726
s_segment_2_143,-40.778388197330386,11.343373133895367
s_segment_2_1440,-39.15688218417729,-5.5172376338465385
s_segment_2_1445,-34.04612358415564,-23.613174775524552
s_segment_2_1448,-30.494692727202292,-22.44099584985464
s_segment_2_1471,-41.31362965677815,47.161531250989974
s_segment_2_148,-22.737168818504035,-8.994727845584299
s_segment_2_1510,-24.361236302454095,-16.779299299759124
s_segment_2_1553,-31.7066747904466,11.923138858587958
s_segment_2_1557,-42.77548597145913,-3.0216076365994384
s_segment_2_1577,-35.824177333869905,15.996332234682779
s_segment_2_1611,-42.693834490198725,-14.783428082102695
s_segment_2_1624,-39.16842552057255,-23.471740724017227
s_segment_2_1665,-43.813440349225445,44.85565840329622
s_segment_2_168,-47.00369055999488,10.506001891153419
s_segment_2_1695,-34.972415748224634,50.16597724446214
s_segment_2_1748,-39.723018772716095,-8.165564069895334
s_segment_2_1752,-39.721135770034316,49.34011766247651
s_segment_2_179,-35.98704436340256,-2.8904113009288066
s_segment_2_180,-48.079819982110045,16.811213331065037
s_segment_2_1821,-30.48045069571612,-24.807474084959182
s_segment_2_1843,-27.800958620915583,-15.49609011333424
s_segment_2_1863,-37.36177946959343,49.23306194032746
s_segment_2_1886,-16.69033729592357,-47.85404706417318
s_segment_2_1911,-37.389221739390756,-25.982396039291437
s_segment_2_1930,-16.138761425409708,-31.287652921843772
s_segment_2_1946,-44.399248614827606,24.315635618821425
s_segment_2_1956,-39.13482619525652,-14.970671341275366
s_segment_2_1957,-35.27595435889604,-7.045749029398679
s_segment_2_1968,-28.099052447798215,-33.358274913911245
s_segment_2_1982,-48.27690579872027,14.463181208874529
s_segment_2_1991,-8.469256191315583,-12.68583807347167
s_segment_2_200,-20.55294101832592,-37.58133417907372
s_segment_2_2029,-46.41882984016304,-1.367483352521181
s_segment_2_2031,-20.385300072619476,0.03636564680931981
s_segment_2_2032,-33.94728833117515,-10.990868127375233
