,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-EM-A3FM-01A,0.000,0.000,0.004,0.004,0.000,0.000,0.738,0.017,0.048,0.095,0.000,0.091,0.000,0.001,0.002,0.000
TCGA-BJ-A4O8-01A,0.005,0.000,0.019,0.002,0.000,0.000,0.540,0.073,0.101,0.150,0.022,0.082,0.000,0.001,0.003,0.001
TCGA-H2-A3RI-01A,0.006,0.000,0.003,0.011,0.000,0.000,0.763,0.030,0.081,0.017,0.013,0.072,0.000,0.000,0.002,0.000
TCGA-ET-A3BQ-01B,0.000,0.000,0.003,0.004,0.000,0.000,0.570,0.003,0.232,0.059,0.042,0.082,0.000,0.001,0.002,0.000
TCGA-CE-A482-01A,0.000,0.000,0.011,0.000,0.000,0.000,0.667,0.008,0.161,0.009,0.054,0.084,0.000,0.001,0.004,0.000
TCGA-DJ-A4UT-01A,0.016,0.000,0.022,0.029,0.011,0.000,0.395,0.050,0.199,0.106,0.049,0.118,0.001,0.001,0.002,0.001
TCGA-BJ-A3PU-01A,0.006,0.000,0.005,0.000,0.000,0.000,0.854,0.016,0.035,0.014,0.000,0.066,0.000,0.000,0.002,0.000
TCGA-ET-A25I-01A,0.075,0.000,0.001,0.005,0.001,0.000,0.584,0.000,0.207,0.000,0.059,0.064,0.000,0.001,0.001,0.000
TCGA-BJ-A2NA-01A,0.005,0.000,0.004,0.007,0.000,0.000,0.652,0.000,0.127,0.061,0.026,0.113,0.000,0.000,0.004,0.000
TCGA-DJ-A3V0-01A,0.000,0.000,0.001,0.005,0.000,0.000,0.618,0.009,0.133,0.113,0.051,0.066,0.000,0.000,0.002,0.000
TCGA-DJ-A3VB-01A,0.000,0.000,0.008,0.004,0.000,0.000,0.738,0.021,0.072,0.059,0.002,0.092,0.000,0.000,0.002,0.000
TCGA-DJ-A2PV-01A,0.006,0.003,0.006,0.002,0.000,0.000,0.459,0.008,0.258,0.111,0.068,0.076,0.001,0.000,0.002,0.000
TCGA-BJ-A3PR-01A,0.074,0.161,0.048,0.035,0.043,0.000,0.310,0.035,0.079,0.064,0.013,0.133,0.001,0.000,0.002,0.001
TCGA-EL-A3CR-01A,0.005,0.000,0.007,0.000,0.000,0.000,0.460,0.004,0.108,0.144,0.006,0.264,0.000,0.000,0.002,0.000
TCGA-ET-A25N-01A,0.000,0.003,0.002,0.001,0.000,0.000,0.676,0.000,0.171,0.044,0.021,0.077,0.000,0.000,0.003,0.000
TCGA-EM-A1CT-01A,0.004,0.001,0.005,0.004,0.000,0.000,0.699,0.015,0.097,0.035,0.022,0.116,0.000,0.000,0.002,0.000
TCGA-DE-A0Y3-01B,0.001,0.001,0.002,0.005,0.000,0.000,0.863,0.003,0.071,0.011,0.000,0.041,0.000,0.000,0.002,0.000
TCGA-DJ-A2Q0-01A,0.002,0.000,0.002,0.000,0.000,0.000,0.683,0.000,0.203,0.000,0.080,0.027,0.000,0.000,0.002,0.000
TCGA-FE-A239-01A,0.057,0.000,0.000,0.003,0.001,0.000,0.756,0.000,0.123,0.008,0.034,0.011,0.000,0.004,0.001,0.000
TCGA-EM-A2CQ-01A,0.037,0.000,0.001,0.000,0.000,0.000,0.698,0.005,0.161,0.006,0.070,0.021,0.000,0.000,0.001,0.000
TCGA-EL-A3T6-01A,0.038,0.001,0.015,0.013,0.008,0.000,0.655,0.005,0.071,0.021,0.002,0.168,0.000,0.000,0.004,0.000
TCGA-DE-A4M8-01A,0.135,0.019,0.016,0.032,0.017,0.001,0.320,0.020,0.135,0.063,0.042,0.198,0.001,0.001,0.002,0.001
TCGA-J8-A3YH-01A,0.004,0.000,0.005,0.001,0.000,0.000,0.673,0.002,0.165,0.031,0.051,0.063,0.000,0.000,0.003,0.000
TCGA-FE-A235-01A,0.014,0.000,0.002,0.012,0.002,0.000,0.654,0.004,0.156,0.056,0.022,0.073,0.001,0.000,0.002,0.001
TCGA-FE-A233-01A,0.000,0.000,0.002,0.003,0.000,0.000,0.797,0.001,0.103,0.039,0.011,0.042,0.000,0.000,0.002,0.000
TCGA-EM-A4FN-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.753,0.008,0.083,0.016,0.010,0.125,0.000,0.000,0.001,0.000
TCGA-ET-A39N-01A,0.033,0.000,0.000,0.002,0.000,0.000,0.717,0.000,0.130,0.016,0.064,0.029,0.000,0.007,0.001,0.000
TCGA-ET-A4KN-01A,0.116,0.001,0.017,0.007,0.000,0.000,0.612,0.000,0.019,0.097,0.000,0.128,0.001,0.001,0.001,0.000
TCGA-BJ-A3EZ-01A,0.000,0.000,0.005,0.007,0.000,0.000,0.817,0.015,0.067,0.028,0.000,0.058,0.000,0.000,0.002,0.000
TCGA-DJ-A3UR-01A,0.002,0.001,0.003,0.002,0.000,0.000,0.687,0.000,0.178,0.002,0.059,0.062,0.000,0.001,0.002,0.000
TCGA-FE-A236-01A,0.001,0.001,0.002,0.006,0.000,0.000,0.729,0.000,0.150,0.035,0.034,0.039,0.000,0.001,0.002,0.000
TCGA-ET-A2N4-01A,0.000,0.000,0.004,0.005,0.000,0.000,0.654,0.000,0.200,0.001,0.055,0.079,0.000,0.001,0.002,0.000
TCGA-ET-A3BO-01A,0.031,0.001,0.019,0.017,0.000,0.000,0.556,0.049,0.111,0.071,0.026,0.116,0.001,0.000,0.003,0.000
TCGA-FK-A4UB-01A,0.000,0.000,0.001,0.006,0.000,0.000,0.726,0.001,0.139,0.001,0.077,0.046,0.000,0.000,0.002,0.000
TCGA-DJ-A13L-01A,0.025,0.002,0.019,0.011,0.003,0.000,0.477,0.065,0.083,0.153,0.005,0.153,0.001,0.000,0.003,0.001
TCGA-EL-A3ZQ-01A,0.053,0.000,0.001,0.004,0.000,0.000,0.776,0.007,0.067,0.010,0.006,0.069,0.001,0.004,0.001,0.000
TCGA-EL-A4K9-01A,0.001,0.000,0.007,0.000,0.000,0.000,0.549,0.011,0.207,0.036,0.067,0.118,0.001,0.001,0.003,0.000
TCGA-ET-A25P-01A,0.024,0.002,0.002,0.005,0.002,0.000,0.596,0.004,0.220,0.002,0.098,0.036,0.004,0.002,0.002,0.000
TCGA-EL-A3ZH-01A,0.034,0.000,0.001,0.000,0.000,0.000,0.759,0.001,0.119,0.005,0.048,0.025,0.000,0.003,0.003,0.000
TCGA-EM-A4FU-01A,0.023,0.000,0.000,0.004,0.000,0.000,0.606,0.000,0.196,0.001,0.110,0.055,0.001,0.000,0.003,0.000
TCGA-KS-A4IC-01A,0.004,0.001,0.003,0.007,0.000,0.000,0.743,0.001,0.102,0.029,0.008,0.097,0.000,0.002,0.002,0.000
TCGA-CE-A481-01A,0.033,0.009,0.013,0.008,0.013,0.000,0.522,0.018,0.189,0.068,0.036,0.086,0.001,0.000,0.003,0.000
TCGA-EL-A3CT-01A,0.007,0.000,0.006,0.000,0.000,0.000,0.577,0.006,0.164,0.123,0.030,0.084,0.000,0.000,0.002,0.000
TCGA-DJ-A2QA-01A,0.009,0.000,0.003,0.005,0.000,0.000,0.713,0.000,0.109,0.062,0.044,0.051,0.000,0.000,0.001,0.000
TCGA-FY-A40L-01A,0.004,0.000,0.004,0.008,0.000,0.000,0.673,0.010,0.086,0.103,0.006,0.100,0.001,0.000,0.003,0.000
TCGA-DO-A1K0-01A,0.000,0.001,0.001,0.005,0.000,0.000,0.713,0.003,0.147,0.041,0.017,0.067,0.000,0.000,0.005,0.000
TCGA-EL-A3GW-01A,0.022,0.000,0.001,0.005,0.000,0.000,0.740,0.002,0.141,0.012,0.031,0.043,0.000,0.000,0.002,0.000
TCGA-EM-A3SU-01A,0.054,0.000,0.011,0.006,0.000,0.000,0.626,0.010,0.048,0.029,0.004,0.210,0.001,0.000,0.001,0.000
TCGA-MK-A84Z-01A,0.019,0.000,0.000,0.005,0.001,0.000,0.589,0.000,0.244,0.001,0.115,0.023,0.000,0.001,0.002,0.000
TCGA-EL-A3H1-01A,0.044,0.000,0.000,0.000,0.005,0.000,0.666,0.000,0.195,0.008,0.056,0.023,0.000,0.000,0.002,0.000
TCGA-EL-A3ZK-01A,0.011,0.000,0.002,0.000,0.000,0.000,0.725,0.031,0.090,0.015,0.000,0.119,0.000,0.000,0.005,0.000
TCGA-EL-A3GP-01A,0.006,0.001,0.005,0.000,0.000,0.000,0.309,0.012,0.100,0.285,0.013,0.266,0.002,0.000,0.001,0.000
TCGA-ET-A40R-01A,0.033,0.015,0.009,0.006,0.000,0.000,0.603,0.007,0.162,0.010,0.062,0.087,0.000,0.002,0.002,0.001
TCGA-DJ-A3UX-01A,0.036,0.017,0.009,0.012,0.003,0.000,0.603,0.011,0.140,0.057,0.031,0.077,0.001,0.000,0.002,0.000
TCGA-DJ-A1QQ-01A,0.012,0.003,0.010,0.001,0.000,0.000,0.639,0.003,0.153,0.096,0.018,0.061,0.000,0.000,0.004,0.000
TCGA-EL-A3GY-01A,0.001,0.000,0.007,0.005,0.000,0.000,0.658,0.028,0.112,0.059,0.013,0.111,0.000,0.000,0.005,0.000
TCGA-EL-A4K0-01A,0.004,0.000,0.016,0.005,0.000,0.000,0.556,0.035,0.114,0.184,0.004,0.077,0.001,0.000,0.004,0.000
TCGA-IM-A3ED-01A,0.040,0.021,0.012,0.008,0.001,0.000,0.551,0.001,0.130,0.084,0.011,0.139,0.001,0.000,0.003,0.000
TCGA-EL-A3GZ-01A,0.001,0.000,0.009,0.006,0.000,0.000,0.671,0.031,0.126,0.095,0.019,0.038,0.000,0.000,0.003,0.000
TCGA-DJ-A1QL-01A,0.013,0.000,0.001,0.000,0.002,0.000,0.677,0.000,0.221,0.006,0.052,0.019,0.001,0.005,0.002,0.000
TCGA-DJ-A4V5-01A,0.007,0.000,0.021,0.002,0.006,0.000,0.548,0.054,0.139,0.075,0.027,0.111,0.001,0.000,0.006,0.001
TCGA-EL-A3T3-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.752,0.002,0.104,0.021,0.015,0.099,0.000,0.000,0.004,0.000
TCGA-E3-A3E1-01A,0.009,0.000,0.006,0.005,0.000,0.000,0.752,0.005,0.087,0.027,0.014,0.090,0.000,0.000,0.003,0.000
TCGA-EL-A3ZN-01A,0.006,0.000,0.001,0.003,0.000,0.000,0.613,0.004,0.229,0.022,0.060,0.057,0.000,0.002,0.002,0.000
TCGA-EL-A4KI-01A,0.027,0.000,0.001,0.005,0.000,0.000,0.753,0.000,0.106,0.003,0.082,0.019,0.001,0.001,0.001,0.000
TCGA-DJ-A2Q4-01A,0.008,0.000,0.006,0.006,0.000,0.000,0.726,0.005,0.127,0.040,0.015,0.062,0.000,0.000,0.003,0.000
TCGA-IM-A4EB-01A,0.055,0.011,0.008,0.007,0.001,0.000,0.587,0.012,0.103,0.093,0.008,0.110,0.001,0.000,0.003,0.001
TCGA-ET-A39M-01A,0.090,0.000,0.013,0.006,0.007,0.000,0.485,0.003,0.110,0.044,0.015,0.224,0.001,0.001,0.002,0.000
TCGA-EM-A2CU-01A,0.019,0.000,0.009,0.002,0.005,0.000,0.514,0.007,0.184,0.042,0.081,0.129,0.001,0.002,0.002,0.001
TCGA-E3-A3DZ-01A,0.036,0.000,0.001,0.009,0.001,0.000,0.678,0.002,0.194,0.002,0.066,0.009,0.001,0.000,0.001,0.000
TCGA-ET-A3BW-01A,0.000,0.000,0.002,0.005,0.000,0.000,0.762,0.000,0.147,0.011,0.044,0.024,0.000,0.000,0.003,0.000
TCGA-DE-A0Y2-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.809,0.000,0.098,0.030,0.002,0.055,0.000,0.000,0.004,0.000
TCGA-DJ-A3VF-01A,0.000,0.000,0.020,0.000,0.000,0.000,0.424,0.083,0.120,0.274,0.009,0.064,0.000,0.000,0.004,0.001
TCGA-DJ-A3VA-01A,0.013,0.001,0.003,0.008,0.000,0.000,0.727,0.002,0.132,0.020,0.016,0.073,0.001,0.000,0.002,0.000
TCGA-E3-A3E2-01A,0.032,0.087,0.026,0.027,0.002,0.000,0.511,0.029,0.133,0.059,0.018,0.073,0.002,0.000,0.001,0.000
TCGA-DJ-A1QD-01A,0.002,0.001,0.001,0.006,0.000,0.000,0.740,0.006,0.115,0.058,0.001,0.067,0.000,0.000,0.004,0.000
TCGA-J8-A3O1-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.000,0.032,0.017,0.001,0.049,0.000,0.000,0.000,0.000
TCGA-DJ-A3V3-01A,0.047,0.001,0.005,0.010,0.003,0.000,0.578,0.004,0.159,0.028,0.041,0.119,0.001,0.001,0.002,0.000
TCGA-DJ-A2Q2-01A,0.029,0.000,0.004,0.000,0.004,0.000,0.599,0.003,0.236,0.003,0.052,0.067,0.000,0.000,0.001,0.000
TCGA-KS-A41F-01A,0.006,0.000,0.001,0.005,0.000,0.000,0.866,0.000,0.062,0.002,0.006,0.047,0.002,0.000,0.002,0.000
TCGA-EL-A3N3-01A,0.065,0.000,0.017,0.006,0.000,0.000,0.556,0.026,0.099,0.098,0.000,0.128,0.001,0.001,0.003,0.000
TCGA-GE-A2C6-01A,0.013,0.006,0.020,0.006,0.011,0.000,0.471,0.035,0.112,0.154,0.056,0.114,0.001,0.000,0.001,0.001
TCGA-EL-A3D6-01A,0.019,0.000,0.016,0.000,0.000,0.000,0.666,0.043,0.076,0.117,0.000,0.060,0.000,0.000,0.001,0.000
TCGA-DE-A7U5-01A,0.025,0.000,0.016,0.009,0.000,0.000,0.547,0.033,0.072,0.173,0.005,0.113,0.000,0.000,0.006,0.001
TCGA-DJ-A3VJ-01A,0.009,0.000,0.012,0.005,0.003,0.000,0.618,0.012,0.169,0.066,0.032,0.070,0.001,0.000,0.002,0.001
TCGA-EM-A4FQ-01A,0.015,0.000,0.005,0.002,0.000,0.000,0.744,0.009,0.074,0.048,0.011,0.089,0.000,0.000,0.002,0.000
TCGA-CE-A3MD-01A,0.010,0.000,0.003,0.008,0.000,0.000,0.588,0.034,0.208,0.027,0.042,0.073,0.000,0.005,0.002,0.000
TCGA-ET-A25R-01A,0.001,0.000,0.012,0.000,0.000,0.000,0.728,0.038,0.063,0.087,0.000,0.068,0.000,0.000,0.002,0.000
TCGA-EM-A3AP-01A,0.023,0.000,0.003,0.000,0.000,0.000,0.569,0.000,0.188,0.036,0.115,0.065,0.000,0.000,0.001,0.000
TCGA-EL-A4JZ-01A,0.016,0.000,0.014,0.009,0.004,0.000,0.450,0.037,0.149,0.114,0.044,0.158,0.001,0.000,0.002,0.000
TCGA-FE-A23A-01A,0.064,0.003,0.008,0.026,0.001,0.000,0.665,0.005,0.053,0.051,0.000,0.121,0.000,0.000,0.002,0.000
TCGA-BJ-A45K-01A,0.022,0.000,0.000,0.000,0.004,0.000,0.654,0.000,0.212,0.006,0.090,0.008,0.001,0.001,0.001,0.000
TCGA-DJ-A1QE-01A,0.000,0.004,0.010,0.000,0.000,0.000,0.744,0.020,0.063,0.116,0.000,0.039,0.000,0.000,0.003,0.000
TCGA-E8-A433-01A,0.004,0.000,0.006,0.004,0.000,0.000,0.681,0.025,0.090,0.106,0.014,0.065,0.000,0.000,0.002,0.000
TCGA-BJ-A18Z-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.583,0.022,0.076,0.218,0.008,0.080,0.000,0.000,0.003,0.000
TCGA-EL-A4K7-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.889,0.000,0.030,0.019,0.000,0.054,0.000,0.000,0.002,0.000
TCGA-FY-A3W9-01A,0.022,0.000,0.000,0.001,0.002,0.000,0.776,0.001,0.144,0.005,0.026,0.019,0.000,0.000,0.002,0.000
TCGA-EM-A22P-01A,0.012,0.058,0.023,0.006,0.012,0.001,0.337,0.053,0.175,0.149,0.056,0.112,0.001,0.000,0.003,0.001
TCGA-DJ-A2PX-01A,0.060,0.026,0.014,0.017,0.004,0.000,0.477,0.014,0.175,0.021,0.066,0.123,0.001,0.001,0.001,0.000
TCGA-J8-A3YD-01A,0.012,0.000,0.004,0.002,0.000,0.000,0.743,0.002,0.134,0.036,0.036,0.028,0.000,0.000,0.003,0.000
TCGA-EL-A3CV-01A,0.007,0.014,0.017,0.023,0.017,0.000,0.323,0.062,0.185,0.198,0.027,0.123,0.001,0.000,0.002,0.001
TCGA-EL-A3CM-01A,0.000,0.003,0.003,0.000,0.000,0.000,0.569,0.017,0.160,0.170,0.018,0.055,0.000,0.000,0.003,0.000
