"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.OR.A5LO.01A",0,0,0,0,0.649462487800799,0.350537512199201,0
"TCGA.P6.A5OG.01A",0,0,0.072079339287847,0,0.798386777411712,0,0.129533883300441
"TCGA.OR.A5J6.01A",0,0,0.188516895110858,0,0.506374940443114,0.305108164446028,0
"TCGA.OR.A5LT.01A",0,0,0,0,0.67329103044828,0.32670896955172,0
"TCGA.OR.A5JY.01A",0,0,0.0154564716463975,0,0.674077499323016,0.310466029030587,0
"TCGA.OR.A5JV.01A",0,0,0.325576706230429,0,0.513825948221943,0.160597345547628,0
"TCGA.OR.A5JT.01A",0,0.000284702666270917,0,0,0.736700255195974,0.263015042137755,0
"TCGA.OR.A5KX.01A",0,0.00382861160057857,0,0,0.650531443613599,0.345639944785822,0
"TCGA.OR.A5K3.01A",0,0,0.0753487465673276,0,0.56499417562971,0.359657077802962,0
"TCGA.OR.A5JZ.01A",0,0,0,0,0.767006395863841,0.232993604136159,0
"TCGA.OR.A5LC.01A",0,0,0,0,0.578485664433554,0.421514335566446,0
"TCGA.OR.A5LH.01A",0,0,0.082686384755159,0,0.575241073420366,0.342072541824475,0
"TCGA.OR.A5LM.01A",0,0.00461640196599022,0,0,0.650352497484085,0.345031100549925,0
"TCGA.OR.A5J5.01A",0,0,0,0,0.709006365946873,0.290993634053127,0
"TCGA.P6.A5OF.01A",0,0,0,0,0.742946515209079,0.237876507587959,0.0191769772029627
"TCGA.OR.A5LD.01A",0,0,0,0,0.490695626535285,0.509304373464714,0
"TCGA.OR.A5L3.01A",0,0,0,0,0.587081179779327,0.412918820220673,0
"TCGA.OR.A5LK.01A",0,0,0.221131762656915,0,0.508429533877916,0.270438703465169,0
"TCGA.OR.A5LG.01A",0,0,0.0479422802728623,0,0.55229632528589,0.398028350694034,0.0017330437472139
"TCGA.OR.A5KO.01A",0,0,0,0,0.628861853802103,0.371138146197897,0
"TCGA.OR.A5JJ.01A",0,0,0,0,0.553429031843721,0.446570968156279,0
"TCGA.OR.A5JL.01A",0,0,0,0,0.665223275802612,0.334776724197388,0
"TCGA.OR.A5KV.01A",0,0,0,0,0.452207018426496,0.547792981573504,0
"TCGA.OR.A5JE.01A",0,0,0.00228045793547288,0,0.525382807891058,0.472336734173469,0
"TCGA.PK.A5HB.01A",0,0,0,0,0.766502314253986,0.233497685746014,0
"TCGA.OR.A5JM.01A",0,0,0,0,0.506513134551523,0.493486865448477,0
"TCGA.OR.A5JD.01A",0,0,0.0679386317445062,0,0.569810354751315,0.362251013504179,0
"TCGA.OR.A5LN.01A",0,0,0.0559469466742523,0,0.654642473776745,0.289410579549003,0
"TCGA.OR.A5K6.01A",0,0,0,0,0.526449685627726,0.473550314372274,0
"TCGA.OR.A5JR.01A",0,0,0.0847622965125685,0,0.611674810636195,0.303562892851237,0
"TCGA.OR.A5L6.01A",0,0,0,0,0.68720069891923,0.31279930108077,0
"TCGA.OR.A5JI.01A",0,0,0.000250068385237127,0,0.825335062578403,0.16986254181209,0.00455232722427008
"TCGA.OR.A5J2.01A",0,0,2.62526567883348e-06,0,0.734442285044421,0.2655550896899,0
"TCGA.OR.A5LL.01A",0,0,0.000439016048476515,0,0.666402060229197,0.333158923722326,0
"TCGA.OR.A5K1.01A",0,0,0,0,0.720947145834674,0.279052854165326,0
"TCGA.PK.A5HA.01A",0,0,0.153582809185621,0,0.675317222941937,0.171099967872442,0
"TCGA.OR.A5LR.01A",0,0,0,0,0.689695271954305,0.310304728045695,0
"TCGA.OR.A5JX.01A",0,0,0,0,0.714469548108073,0.282405497395367,0.00312495449655967
"TCGA.OU.A5PI.01A",0,0,0,0,0.627108169615206,0.333113503745632,0.0397783266391617
"TCGA.OR.A5JA.01A",0,0,0,0,0.660320415765152,0.339679584234848,0
"TCGA.OR.A5KY.01A",0,0,0,0,0.636210370369216,0.361681945321448,0.00210768430933595
"TCGA.OR.A5L9.01A",0,0,0.120165830716362,0,0.683480655057849,0.196353514225789,0
"TCGA.PK.A5H9.01A",0,0,0.0400860002598046,0,0.836982280850686,0.12293171888951,0
"TCGA.OR.A5JK.01A",0,0.0034075762981871,0.135879813471208,0,0.617023994262637,0.243688615967968,0
"TCGA.OR.A5LJ.01A",0,0,0,0,0.528055384181217,0.471944615818783,0
"TCGA.OR.A5K9.01A",0,0,0,0,0.597397388270166,0.402602611729834,0
"TCGA.OR.A5LA.01A",0,0,0.0587905074216578,0,0.679217987698902,0.26199150487944,0
"TCGA.OR.A5JP.01A",0,0,0,0,0.590216293584836,0.407691570332524,0.00209213608263935
"TCGA.OR.A5LE.01A",0,0,0,0,0.526752880974036,0.473247119025964,0
"TCGA.OR.A5JB.01A",0,0,0.178783136215946,0,0.483344847222927,0.308899642437062,0.0289723741240649
"TCGA.OR.A5J3.01A",0,0,0,0,0.666280396672442,0.333719603327558,0
"TCGA.OR.A5JQ.01A",0,0,0.0398231707025985,0,0.703755796497758,0.250307679759263,0.00611335304038035
"TCGA.OR.A5J7.01A",0,0,0,0,0.57274461980302,0.42725538019698,0
"TCGA.OR.A5KZ.01A",0,0,0,0,0.622697300424221,0.320732536216674,0.0565701633591048
"TCGA.OR.A5KW.01A",0,0,0,0,0.600492064664666,0.399507935335334,0
"TCGA.PA.A5YG.01A",0,0,0.0450631358117375,0,0.716078315737595,0.238858548450668,0
"TCGA.OR.A5J9.01A",0,0,0,0,0.697747011911318,0.302252988088682,0
"TCGA.OR.A5K4.01A",0,0,0,0,0.62256323825384,0.37743676174616,0
"TCGA.OR.A5K2.01A",0,0,0.000452485469958812,0,0.494086451929039,0.505461062601002,0
"TCGA.OR.A5JO.01A",0,0,0.286472052093076,0,0.665539616486592,0.0419942460209873,0.00599408539934484
"TCGA.OR.A5KU.01A",0,0,0,0,0.58941135702868,0.408970016812278,0.00161862615904199
"TCGA.OR.A5LB.01A",0,0,0,0,0.5864721217799,0.4135278782201,0
"TCGA.OR.A5L8.01A",0,0,0,0,0.582310164906423,0.417689835093577,0
"TCGA.OR.A5J8.01A",0,0,0.307325604778944,0,0.25874935766091,0,0.433925037560145
"TCGA.OR.A5LS.01A",0,0,0,0,0.511130116583373,0.488869883416627,0
"TCGA.OR.A5JW.01A",0,0,0,0,0.627928743148084,0.372071256851916,0
"TCGA.OR.A5JC.01A",0,0.00100746186500337,0,0,0.624885570696314,0.374106967438683,0
"TCGA.OR.A5LP.01A",0,0,0.0833422689702369,0,0.682964246258255,0.233693484771508,0
"TCGA.OR.A5J1.01A",0,0,0.00191414432370871,0,0.560527652131337,0.437558203544954,0
"TCGA.OR.A5K0.01A",0,0,0.00300586709319402,0,0.551770092113059,0.445224040793746,0
"TCGA.OR.A5K8.01A",0,0,0,0,0.675394559422328,0.324605440577672,0
"TCGA.OR.A5L5.01A",0,0,0.116490946787651,0,0.595082349995957,0.288426703216392,0
"TCGA.OR.A5KT.01A",0,0,0.104400755217738,0,0.686973561197494,0.158713003680535,0.0499126799042333
"TCGA.OR.A5JF.01A",0,0,0,0,0.660129714902426,0.339870285097574,0
"TCGA.OR.A5L4.01A",0,0,0,0,0.616489871527242,0.383510128472758,0
"TCGA.OR.A5JS.01A",0,0,0,0,0.485866183743285,0.514133816256715,0
"TCGA.OR.A5K5.01A",0,0,0,0,0.561906320393839,0.43809367960616,0
"TCGA.OR.A5JG.01A",0,0,0,0,0.620036735097808,0.379963264902193,0
"TCGA.PK.A5H8.01A",0,0.000224091139444088,0,0,0.527564193390802,0.472211715469754,0
